col0,col1,col2,col3,col4
Led Zeppelin,Robert Plant,London,rock music,The Rolling Stones
Nirvana,Kurt Cobain,Aberdeen,grunge,Led Zeppelin
Queen,Freddie Mercury ( fredderic mercury ),London,rock music,The Beatles
You Me at Six,Josh Franceschi,Weybridge,alternative rock,Blink-182
Ningen Isu,Nobu Nakajima,Hirosaki,heavy metal,Led Zeppelin
Truman Brothers,Chad Truman,Provo,alternative rock,Diamond Rio
The Phone Call Damage,Matteo Lacchio,Turin,alternative rock,Metallica
Red Hot Chili Peppers,Chad Smith,Los Angeles,punk rock,Jimi Hendrix
Soundgarden,Hiro Yamamoto,Washington,grunge,Led Zeppelin
Pink Floyd,Syd Barrett,London,progressive rock,The Who
The Beatles,Paul McCartney,Liverpool,rock and roll,Ludwig van Beethoven
Moheener Ghoraguli,Abraham Mazumdar,Kolkata,progressive rock,The Beatles
Spock's Beard,Alan Morse,Los Angeles,progressive rock,Yes
Placebo,Brian Molko,London,alternative rock,Syd Barrett
The Rolling Stones,Charlie Watts,Dartford,hard rock,The Beatles
