col0,col1,col2,col3,col4,col5,col6
Minuma-ku,Saitama,30.69,Marugasaki,UTC+09:00,ward of Japan,164036
Minami-ku,Yokohama,12.65,Gumyōji,UTC+09:00,ward of Japan,195677
Kōnan-ku,Yokohama,19.9,Kamiōka,UTC+09:00,ward of Japan,213934
Asahi-ku,Yokohama,32.73,Kami-Kawaichō,UTC+09:00,ward of Japan,245169
Seya-ku,Yokohama,17.17,Shimo-Seya,UTC+09:00,ward of Japan,122166
Tsuzuki-ku,Yokohama,27.87,Kawawachō,UTC+09:00,ward of Japan,212437
Sakae-ku,Yokohama,18.52,Kaminochō,UTC+09:00,ward of Japan,119604
Kanazawa-ku,Yokohama,31.96,Hakkeijima,UTC+09:00,ward of Japan,198593
Saiwai-ku,Kawasaki,10.05,Tote,UTC+09:00,ward of Japan,170159
Tama-ku,Kawasaki,20.5,Noborito,UTC+09:00,ward of Japan,219868
Miyamae-ku,Kawasaki,18.61,Hayaki-Daira,UTC+09:00,ward of Japan,232325
Takatsu-ku,Kawasaki,16.36,Shimo-Sakunobe,UTC+09:00,ward of Japan,233285
Nishi-ku,Saitama,29.14,Mihashi,UTC+09:00,ward of Japan,92001
Sakura-ku,Saitama,18.64,Shibiraki,UTC+09:00,ward of Japan,98316
