col0,col1,col2,col3,col4
3FM,Dutch public broadcasting system,Netherlands,1965-01-01,Hilversum
WQAM,Entercom,United States of America,1921-01-01,Miami
WTLC,Urban One,United States of America,1982-01-01,Indianapolis
WHHH,Urban One,United States of America,1991-01-01,Indianapolis
WBDG,Metropolitan School District of Wayne Township,United States of America,1966-01-01,Indianapolis
WFYI-FM,Metropolitan Indianapolis Public Broadcasting,United States of America,1954-01-01,Indianapolis
WIBC,Emmis Communications,United States of America,1961-01-01,Indianapolis
WFNI,Emmis Communications,United States of America,2007-01-01,Indianapolis
WNTR,Cumulus Media,United States of America,1984-01-01,Indianapolis
WOLT,iHeartMedia,United States of America,1992-01-01,Indianapolis
KXTG,Alpha Media,United States of America,1922-01-01,Portland
KXL-FM,Alpha Media,United States of America,1948-01-01,Portland
KUPL,Alpha Media,United States of America,1948-01-01,Portland
KUFO,Alpha Media,United States of America,1922-01-01,Portland
