col0,col1,col2,col3,col4,col5,col6
1962 European Aquatics Championships,water polo,1962-08-25,German Democratic Republic,1962-08-18,Leipzig,LEN
1927 European Aquatics Championships,water polo,1927-09-04,Italy,1927-08-31,Bologna,LEN
2010 European Aquatics Championships,swimming,2010-08-15,Hungary,2010-08-04,Budapest,LEN
2006 European Aquatics Championships,diving,2006-08-06,Hungary,2006-07-26,Budapest,LEN
1926 European Aquatics Championships,water polo,1926-08-22,Hungary,1926-08-18,Budapest,LEN
1958 European Aquatics Championships,water polo,1958-09-06,Hungary,1958-08-31,Budapest,LEN
2000 European Aquatics Championships,diving,2000-07-09,Finland,2000-06-28,Helsinki,LEN
1995 European Aquatics Championships,water polo,1995-08-27,Austria,1995-08-22,Vienna,LEN
1950 European Aquatics Championships,water polo,1950-08-27,Austria,1950-08-20,Vienna,LEN
1974 European Aquatics Championships,water polo,1974-08-25,Austria,1974-08-18,Vienna,LEN
1934 European Aquatics Championships,water polo,1934-08-19,German Reich,1934-08-12,Magdeburg,LEN
1981 European Aquatics Championships,water polo,1981-09-12,Socialist Federal Republic of Yugoslavia,1981-09-05,Split,LEN
1970 European Aquatics Championships,water polo,1970-09-13,Spain,1970-09-05,Barcelona,LEN
1989 European Aquatics Championships,water polo,1989-08-20,Germany,1989-08-15,Bonn,LEN
1954 European Aquatics Championships,water polo,1954-09-05,Italy,1954-08-31,Turin,LEN
