col0,col1,col2,col3,col4
"Edinburgh, 2, 4, 6, 8, 10, 12 Cowgate, Greyfriars Hostel",hostel,category B listed building,United Kingdom,City of Edinburgh
"10 Partickhill Road, St Kentigern's Hostel",hostel,category B listed building,United Kingdom,Glasgow City
"South Tarbrax, The Hostel",hostel,category B listed building,United Kingdom,Angus
Knockshannoch Youth Hostel,hostel,category B listed building,United Kingdom,Angus
"Montrose, 98 Murray Street, Ymca Hostel",hostel,category B listed building,United Kingdom,Angus
"6 Park Circus Place, Hostel",hostel,category A listed building,United Kingdom,Glasgow City
"2 Claremont Terrace, Hostel",hostel,category A listed building,United Kingdom,Glasgow City
"Edinburgh, 7 - 8 Bruntsfield Crescent, Youth Hostel",hostel,category A listed building,United Kingdom,City of Edinburgh
Saffron Walden Youth Hostel,hostel,Grade I listed building,United Kingdom,Uttlesford
"Trinity College, Bishop's Hostel",hostel,Grade I listed building,United Kingdom,Cambridge
Arlington House,building,Grade II listed building,United Kingdom,London Borough of Camden
