col0,col1,col2,col3,col4,col5
Anagennisi Deryneia FC,Yiorgos Kosma,1998–99 Cypriot Second Division,Anagennisi Football Ground,white,1920-12-01
APEP F.C.,Andreas Michaelides,1986–87 Cypriot Second Division,Kyperounda Community Stadium,white,1979-08-15
Enosis Neon Paralimni FC,André Paus,1968–69 Cypriot Second Division,Paralimni Stadium,white,1936-02-20
Ethnikos Achna FC,Panayiotis Engomitis,2006 UEFA Intertoto Cup,Dasaki Stadium,white,1968-01-01
Apollon Limassol FC,Sofronis Avgousti,2016–17 Cypriot Cup,Tsirio Stadium,white,1954-04-14
Aris Limassol F.C.,Nicos Panayiotou,1955–56 Cypriot Second Division,Tsirio Stadium,white,1930-01-01
Apollon Limassol FC,Sofronis Avgousti,2015–16 Cypriot Cup,Tsirio Stadium,white,1954-04-14
Aris Limassol F.C.,Nicos Panayiotou,2012–13 Cypriot Second Division,Tsirio Stadium,white,1930-01-01
Apollon Limassol FC,Sofronis Avgousti,1984–85 Cypriot Cup,Tsirio Stadium,white,1954-04-14
Aris Limassol F.C.,Nicos Panayiotou,2010–11 Cypriot Second Division,Tsirio Stadium,white,1930-01-01
Apollon Limassol FC,Sofronis Avgousti,1991–92 Cypriot Cup,Tsirio Stadium,white,1954-04-14
AEP Paphos F.C.,Andreas Michaelides,2007–08 Cypriot Second Division,Pafiako Stadium,white,2000-06-10
