col0,col1,col2,col3,col4
Hospital Universitario Príncipe de Asturias,University of Alcalá,Servicio Madrileño de Salud,1987-11-30,Alcalá de Henares
Tampere University Hospital,University of Tampere,Pirkanmaa Hospital District,1962-01-01,Tampere
Marqués de Valdecilla University Hospital,University of Cantabria,Servicio Cántabro de Salud,1929-01-01,Santander
Hospital Universitario de Guadalajara,University of Alcalá,Servicio de Salud de Castilla La Mancha,1982-01-25,Guadalajara
Hospital Universitario Miguel Servet,University of Zaragoza,Servicio Aragonés de Salud,1955-01-01,Zaragoza
Queen Mary Hospital,University of Hong Kong,Hospital Authority,1937-01-01,Hong Kong
Hospital Universitario Río Hortega,University of Valladolid,Sanidad de Castilla y León,1953-07-24,Valladolid
Hospital Reina Sofía (Córdoba),University of Córdoba,Andalusian Health Service,1976-01-01,Córdoba
Hospital Santa Cristina,Universidad Europea de Madrid,Servicio Madrileño de Salud,1924-01-01,Madrid
Hospital Ramón y Cajal,University of Alcalá,Servicio Madrileño de Salud,1977-01-01,Madrid
Hospital Universitario La Paz,Autonomous University of Madrid,Servicio Madrileño de Salud,1964-01-01,Madrid
Hospital Clínico San Carlos,Complutense University of Madrid,Servicio Madrileño de Salud,1951-01-20,Madrid
Hospital Universitario Puerta de Hierro Majadahonda,Autonomous University of Madrid,Servicio Madrileño de Salud,1964-06-05,Majadahonda
Karolinska University Hospital,Karolinska Institute,Stockholm County Council,2004-01-01,Solna Municipality
Oulu University Hospital,University of Oulu,Northern Ostrobothnia Hospital District,1973-01-01,Oulu
Hospital General Universitario de Ciudad Real,University of Castile-La Mancha,Servicio de Salud de Castilla La Mancha,2005-11-18,Ciudad Real
Hospital Clínico Universitario Lozano Blesa,University of Zaragoza,Servicio Aragonés de Salud,1974-01-01,Zaragoza
Hospital Clínico Universitario de Valladolid,University of Valladolid,Sanidad de Castilla y León,1978-01-03,Valladolid
Greifswald University Hospital,University of Greifswald,Mecklenburg-Vorpommern,1794-01-01,Greifswald
Helsinki University Central Hospital,University of Helsinki,Hospital District of Helsinki and Uusimaa,1958-03-01,Helsinki
