col0,col1,col2,col3,col4,col5
Club de Mar Bueu,Bueu,1982-01-01,Bueu,rowing,Spain
Club de Remo San Pantaleón,Marina de Cudeyo,1995-01-01,Marina de Cudeyo,rowing,Spain
Lutxana Arraun Elkartea,Erandio,1983-01-01,Erandio,rowing,Spain
Oiartzungo Itsaslapurrak Arraun Elkartea,Oiartzun,2015-01-01,Oiartzun,rowing,Spain
Getaria-Tolosa,Tolosa,2009-01-01,Tolosa,rowing,Spain
Club de Remo Robaleira,A Guarda,1989-03-25,A Guarda,rowing,Spain
Club de Mar de Aviles,Avilés,1944-01-01,Avilés,rowing,Spain
Sociedade Deportiva As Xubias,A Coruña,1977-01-01,A Coruña,rowing,Spain
Remeros del Nalón,Asturias,1994-01-01,Asturias,rowing,Spain
Kälarne IK,Kälarne,1920-02-14,Bräcke Municipality,association football,Sweden
