col0,col1,col2,col3,col4,col5,col6
1304–05 papal conclave,1304-07-18,1314–16 papal conclave,Pedro Rodríguez,Clement V,pope,Perugia Cathedral
1592 papal conclave,1592-01-10,March 1605 papal conclave,Vincenzo Lauro,Clement VIII,pope,Apostolic Palace
1621 papal conclave,1621-02-08,1623 papal conclave,Gregory XV,Gregory XV,pope,Apostolic Palace
1655 papal conclave,1655-01-19,1667 papal conclave,Ernst Adalbert von Harrach,Alexander VII,pope,Apostolic Palace
October 1978 papal conclave,1978-10-14,2005 papal conclave,Lawrence Picachy,John Paul II,pope,Sistine Chapel
October–December 1590 papal conclave,1590-10-08,1591 papal conclave,Alessandro Peretti di Montalto,Gregory XIV,pope,Apostolic Palace
September 1590 papal conclave,1590-09-07,October–December 1590 papal conclave,Federico Borromeo,Urban VII,pope,Apostolic Palace
1591 papal conclave,1591-10-27,1592 papal conclave,Innocent IX,Innocent IX,pope,Apostolic Palace
May 1605 papal conclave,1605-05-08,1621 papal conclave,Paul V,Paul V,pope,Apostolic Palace
1592 papal conclave,1592-01-10,March 1605 papal conclave,Antonmaria Sauli,Clement VIII,pope,Apostolic Palace
1559 papal conclave,1559-09-15,1565–66 papal conclave,Pius IV,Pius IV,pope,Apostolic Palace
