col0,col1,col2
One Canal Place,New Orleans,August Perez III
Olive Hotel,Miles City,Brynjulf Rivenes
New Redmond Hotel,Oregon,Hugh Thompson
Orient Hotel,City of Fremantle,Michael Cavanagh
New Imperial Hotel,Portland,Whidden and Lewis
Northwestern Hotel,Iowa,Proudfoot & Bird
Olive 8,Washington,Gluckman Tang Architects
"North Western Hotel, Morecambe",Morecambe,Edward Graham Paley
Nimb Hotel,Copenhagen Municipality,Knud Arne Petersen
Omni William Penn Hotel,Pittsburgh,Benno Janssen
Normandie Hotel,San Juan,Félix Benítez Rexach
Ottawa Marriott Hotel,Ottawa,Campeau Corporation
Novotel Grand Hotel de L'Independance,Conakry,Atelier LWD
Ocean Forest Hotel,South Carolina,Raymond Hood
North Euston Hotel,Fleetwood,Decimus Burton
Roosevelt Hotel,Oregon,Claussen and Claussen
Sanderson Hotel,London,Reginald Uren
Savery Hotel,Iowa,H.L. Stevens & Company
Seagle Building,Florida,Rudolph Weaver
San Carlos Hotel,Pensacola,William Lee Stoddart
Sands Regency,Nevada,"Martin Stern, Jr."
Rudolf Hotel,Valley City,John W. Ross
