col0,col1,col2,col3,col4,col5
Accenture,1989-01-01,Limited Company,Hamilton,information technology,Acquity Group
American Express,1850-01-01,corporation,Buffalo,financial services,200 Vesey Street
GlaxoSmithKline,2001-01-01,public limited company,London,biotechnology,Sensodyne
Kraft Foods,1904-01-01,joint-stock company,Chicago,food industry,Kool-Aid
Altria,1985-01-01,public company,London,food industry,Parliament
Casio,1957-01-01,kabushiki gaisha,Tokyo,electronics,G-Shock
Bombardier,1942-01-29,corporation,Valcourt,automotive industry,Bombardier Transportation
Tata Motors,1945-01-01,joint-stock company,Mumbai,automotive industry,Tata Daewoo
Fujitsu,1935-06-20,kabushiki gaisha,Kawasaki,electronics,Fujitsu Technology Solutions
BlackRock,1988-01-01,public company,New York City,hedge fund,Carlsberg Group
Canon Inc.,1937-08-10,kabushiki gaisha,Ōta-ku,electronics,Canon Medical Systems Corporation
Seiko Epson,1881-01-01,kabushiki gaisha,Suwa,electronics,Orient Watch Company
Panasonic Corporation,1918-03-13,kabushiki gaisha,Ōsaka,electronics,Panasonic
Toshiba,1875-01-01,kabushiki gaisha,Tokyo,software industry,Ikegami Tsushinki
Axel Springer SE,1946-01-01,Societas Europaea,Hamburg,publishing,Die Welt
Oracle Corporation,1977-06-14,public company,Santa Clara,software development,JavaScript
AvtoVAZ,1966-01-01,joint-stock company,Tolyatti,automotive industry,GM-AvtoVAZ
Olivetti,1908-01-01,joint-stock company,Ivrea,information technology,"Olivetti Exhibition centre in Venice, Italy"
Qualcomm Inc.,1985-01-01,public company,San Diego,semiconductor industry,Qualcomm Atheros
Severstal,1993-01-01,joint-stock company,Cherepovets,mining industry,Sollers JSC
