col0,col1,col2,col3,col4,col5,col6,col7
Mad Season,Layne Staley,United States of America,grunge,Columbia Records,supergroup,Seattle,1994-01-01
"Emerson, Lake & Palmer",Carl Palmer,United Kingdom,symphonic rock,Polydor Records,supergroup,Croydon,1970-01-01
213,Snoop Dogg,United States of America,g-funk,TVT Records,rap group,Long Beach,1991-01-01
The New Pornographers,A. C. Newman,Canada,alternative rock,Matador Records,rock band,Vancouver,1999-01-01
"Emerson, Lake & Palmer",Keith Emerson,United Kingdom,progressive rock,Polydor Records,supergroup,Croydon,1970-01-01
The New Pornographers,A. C. Newman,Canada,alternative rock,Matador Records,supergroup,Vancouver,1999-01-01
213,Snoop Dogg,United States of America,g-funk,TVT Records,supergroup,Long Beach,1991-01-01
"Emerson, Lake & Palmer",Keith Emerson,United Kingdom,symphonic rock,Virgin EMI Records,supergroup,Croydon,1970-01-01
Nick Cave and the Bad Seeds,Martyn P. Casey,Australia,alternative rock,Mute Records,rock band,Melbourne,1983-01-01
Fantômas,Mike Patton,United States of America,avant-garde metal,Ipecac Recordings,musical group,California,1998-01-01
The Power Station,Robert Palmer,United States of America,rock music,Capitol Records,supergroup,New York City,1984-01-01
