col0,col1,col2,col3
Hannah White & Sons,Carmarthen,1860-01-01,United Kingdom of Great Britain and Ireland
Seacome & Harrison,Chester,1841-08-30,United Kingdom of Great Britain and Ireland
Tegg & Castleman,London,1804-01-01,United Kingdom of Great Britain and Ireland
Newbery & Carnan,London,1779-01-01,Great Britain
Dean and Munday,Threadneedle Street,1843-01-01,United Kingdom
Rees & Son,Abergavenny,t519689922,United Kingdom
Williams & Hughes,Caernarfon,t198233490,United Kingdom
Poole & Harding,Chester,1842-01-01,United Kingdom
Ivey & Pearse,Swansea,1850-01-01,United Kingdom
William Bird & Son,Cardiff,1855-01-01,United Kingdom
R & J Dodsley,London,1764-01-01,United Kingdom
Allen & West,London,1798-01-01,United Kingdom
Harrison & Co.,London,1798-01-01,United Kingdom
Cadell and Davies,London,1836-01-01,United Kingdom
C.A. Reitzels Boghandel,Copenhagen,2009-01-01,Denmark
Robert Clarke & Company,Cincinnati,1909-01-01,United States of America
Westley & Davis,London,1835-01-01,United Kingdom of Great Britain and Ireland
John & Mary Robinson,Leeds,1806-01-01,Great Britain
S. & E. Harding,London,1797-01-01,Great Britain
"Lackington, Allen and Co.",London,1812-01-01,Great Britain
