col0,col1,col2,col3,col4,col5
19th arrondissement of Paris,6.79,Villette,Belleville,Pantin,François Dagnaud
17th arrondissement of Paris,5.67,Ternes,Neuilly-sur-Seine,18th arrondissement of Paris,Geoffroy Boulard
18th arrondissement of Paris,6.01,Goutte-d'Or,Saint-Ouen-sur-Seine,17th arrondissement of Paris,Éric Lejoindre
9th arrondissement of Paris,2.18,Faubourg-Montmartre,former 1st arrondissement of Paris,17th arrondissement of Paris,Delphine Bürkli
18th arrondissement of Paris,6.01,Goutte-d'Or,La Chapelle,10th arrondissement of Paris,Éric Lejoindre
17th arrondissement of Paris,5.67,Ternes,Neuilly-sur-Seine,16th arrondissement of Paris,Geoffroy Boulard
18th arrondissement of Paris,6.01,Goutte-d'Or,Saint-Ouen-sur-Seine,10th arrondissement of Paris,Éric Lejoindre
9th arrondissement of Paris,2.18,Saint-Georges,former 1st arrondissement of Paris,8th arrondissement of Paris,Delphine Bürkli
8th arrondissement of Paris,3.88,Europe,former 1st arrondissement of Paris,7th arrondissement of Paris,Jeanne d'Hauteserre
6th arrondissement of Paris,2.15,Saint-Germain-des-Prés,former 10th arrondissement of Paris,7th arrondissement of Paris,Jean-Pierre Lecoq
