col0,col1,col2
Forest Glen Annex,Forest Glen,United States of America
Center for Drug Evaluation and Research,White Oak,United States of America
Center for Biologics Evaluation and Research,White Oak,United States of America
Cambridge Scientific Center,Cambridge,United States of America
Negev Nuclear Research Center,Negev,Israel
Kernfysisch Versneller Instituut,Zernikecomplex,Netherlands
European Laboratory for Non-Linear Spectroscopy,Sesto Fiorentino,Italy
Poëziecentrum,Toreken,Belgium
IBM Thomas J. Watson Research Center,Yorktown Heights,United States of America
FBI Academy,Marine Corps Base Quantico,United States of America
American Academy in Rome,Rome,United States of America
FloWaveTT,Edinburgh,United Kingdom
Shell Technology Centre Amsterdam,Amsterdam-Noord,Netherlands
Museum of the Center for the Acropolis Studies,Makrygianni,Greece
Molenmuseum,Sint-Amands,Belgium
Carl Albert Center,University of Oklahoma,United States of America
Vall d'Hebron Research Institute,Hospital Vall d'Hebron,Spain
Wellcome Centre for Human Genetics,Old Road Campus,United Kingdom
Scottish Association for Marine Science,Millport,United Kingdom
Søren Kierkegaard Research Centre,University of Copenhagen,Denmark
