col0,col1,col2
Brampton Civic Hospital,Michael G. DeGroote School of Medicine at McMaster University,2007-01-01
Broomfield Hospital,Barts and The London School of Medicine and Dentistry,1940-01-01
Brookdale University Hospital and Medical Center,New York Medical College,1921-01-01
CBM Bethel Hospital,"Christian Medical College & Hospital, Vellore",1906-01-01
Bridgeport Hospital,Yale School of Medicine,1878-01-01
Bronx-Lebanon Hospital Center,Icahn School of Medicine at Mount Sinai,1962-01-01
Blacktown Hospital,Western Sydney University,1965-01-01
Box Hill Hospital,Monash University,1956-01-01
Blackpool Victoria Hospital,University of Liverpool,1894-01-01
Brenner Children's Hospital,Wake Forest University,1986-01-01
Botsford Hospital,Michigan State University,1965-01-01
C.S. Mott Children's Hospital,University of Michigan,1969-01-01
Birmingham Children's Hospital,University of Birmingham,1862-01-01
Bridgepoint Active Healthcare,University of Toronto,1875-01-01
Arrowhead Regional Medical Center,California University of Science and Medicine,1999-01-01
Alfred I. duPont Hospital for Children,Thomas Jefferson University Hospital,1940-01-01
Albert B. Chandler Hospital,University of Kentucky College of Medicine,1962-01-01
Auckland City Hospital,"University of Auckland, Faculty of Medical and Health Sciences",1846-01-01
Arkansas Children's Hospital,UAMS College of Medicine,1912-01-01
Alexandra Hospital,National University Health System,1938-01-01
