col0,col1,col2,col3,col4,col5
National Statistical Committee of the Republic of Belarus,CIS STAT,Belarus,2008-01-01,Belarus,Belstat
Uganda Bureau of Statistics,OIC-StatCom,Uganda,1998-06-11,Uganda,UBOS
Bangladesh Bureau of Statistics,SAARCSTAT,Bangladesh,1974-01-01,Bangladesh,BBS
The Statistical Institute of Belize,CARICOM Regional Statistics,Belize,2007-04-01,Belize,SIB
State Statistical Committee,CIS STAT,Azerbaijan,1994-02-18,Azerbaijan,Az Stat
Czech Statistical Office,Eurostat,Czech Republic,1969-01-08,Czech Republic,CZSO
Egypt Statistics,OIC-StatCom,Egypt,1964-01-01,Egypt,CAPMAS
Hungarian Central Statistical Office,Eurostat,Hungary,1871-04-18,Hungary,HCSO
UZSTAT,CIS STAT,Uzbekistan,2002-01-01,Uzbekistan,UZSTAT
CYSTAT,Eurostat,Republic of Cyprus,1950-01-01,Republic of Cyprus,CYSTAT
