col0,col1,col2,col3,col4,col5,col6
LSWR 177-class no. 244,United Kingdom of Great Britain and Ireland,2,1897-04-01,1867-06-01,1867-07-01,"Beyer, Peacock and Company"
LSWR 177-class no. 210,United Kingdom of Great Britain and Ireland,2,1896-06-01,1866-05-01,1866-05-01,"Beyer, Peacock and Company"
LSWR 177-class no. 209,United Kingdom of Great Britain and Ireland,2,1893-12-01,1866-04-01,1866-04-01,"Beyer, Peacock and Company"
LSWR 177-class no. 205,United Kingdom of Great Britain and Ireland,2,1888-12-01,1865-06-01,1865-06-01,"Beyer, Peacock and Company"
LSWR 177-class no. 204,United Kingdom of Great Britain and Ireland,2,1898-07-01,1865-06-01,1865-06-01,"Beyer, Peacock and Company"
LSWR 177-class no. 203,United Kingdom of Great Britain and Ireland,2,1888-12-01,1865-06-01,1865-06-01,"Beyer, Peacock and Company"
LSWR 177-class no. 194,United Kingdom of Great Britain and Ireland,2,1898-06-01,1863-12-01,1863-12-01,"Beyer, Peacock and Company"
LSWR 177-class no. 193,United Kingdom of Great Britain and Ireland,2,1895-01-01,1863-12-01,1863-12-01,"Beyer, Peacock and Company"
LSWR 177-class no. 192,United Kingdom of Great Britain and Ireland,2,1894-09-01,1863-12-01,1863-12-01,"Beyer, Peacock and Company"
LSWR 177-class no. 191,United Kingdom of Great Britain and Ireland,2,1895-06-01,1863-12-01,1863-12-01,"Beyer, Peacock and Company"
LSWR 177-class no. 190,United Kingdom of Great Britain and Ireland,2,1892-12-01,1863-12-01,1863-12-01,"Beyer, Peacock and Company"
LSWR 177-class no. 189,United Kingdom of Great Britain and Ireland,2,1897-06-01,1863-12-01,1863-12-01,"Beyer, Peacock and Company"
LSWR 177-class no. 188,United Kingdom of Great Britain and Ireland,2,1895-11-01,1863-12-01,1863-12-01,"Beyer, Peacock and Company"
LSWR 177-class no. 187,United Kingdom of Great Britain and Ireland,2,1894-06-01,1863-11-01,1863-11-01,"Beyer, Peacock and Company"
LSWR 177-class no. 186,United Kingdom of Great Britain and Ireland,2,1895-10-01,1863-11-01,1863-11-01,"Beyer, Peacock and Company"
LSWR 177-class no. 185,United Kingdom of Great Britain and Ireland,2,1897-04-01,1863-11-01,1863-11-01,"Beyer, Peacock and Company"
LSWR 177-class no. 183,United Kingdom of Great Britain and Ireland,2,1893-12-01,1863-10-01,1863-10-01,"Beyer, Peacock and Company"
LSWR 177-class no. 182,United Kingdom of Great Britain and Ireland,2,1895-09-01,1863-03-01,1863-03-01,"Beyer, Peacock and Company"
LSWR 177-class no. 181,United Kingdom of Great Britain and Ireland,2,1893-12-01,1863-03-01,1863-03-01,"Beyer, Peacock and Company"
LSWR 177-class no. 180,United Kingdom of Great Britain and Ireland,2,1892-09-01,1863-02-01,1863-02-01,"Beyer, Peacock and Company"
