col0,col1,col2,col3,col4
Municipal elections 2017 in Karstula in Finland,National Coalition Party,2017-04-09,Karstula municipal council,Karstula
Municipal elections 2017 in Kauniainen in Finland,Green League,2017-04-09,Kauniainen City Council,Kauniainen
Municipal elections 2017 in Kemi in Finland,Green League,2017-04-09,Kemi City Council,Kemi
Municipal elections 2017 in Kauhava in Finland,Green League,2017-04-09,Kauhava City Council,Kauhava
Municipal elections 2017 in Kauhajoki in Finland,Green League,2017-04-09,Kauhajoki City Council,Kauhajoki
Municipal elections 2017 in Karijoki in Finland,National Coalition Party,2017-04-09,Karijoki municipal council,Karijoki
Municipal elections 2017 in Hailuoto in Finland,Green League,2017-04-09,Hailuoto municipal council,Hailuoto
Municipal elections 2017 in Hartola in Finland,Green League,2017-04-09,Hartola municipal council,Hartola
Municipal elections 2017 in Heinävesi in Finland,National Coalition Party,2017-04-09,Heinävesi municipal council,Heinävesi
Municipal elections 2017 in Halsua in Finland,Social Democratic Party of Finland,2017-04-09,Halsua municipal council,Halsua
Municipal elections 2017 in Harjavalta in Finland,Green League,2017-04-09,Harjavalta City Council,Harjavalta
Municipal elections 2017 in Hattula in Finland,Green League,2017-04-09,Hattula municipal council,Hattula
