col0,col1,col2,col3,col4
Vdara,United States of America,MGM Resorts International,hotel,Nevada
Vdara,United States of America,MGM Resorts International,skyscraper,Nevada
Fairmont Sonoma Mission Inn & Spa,United States of America,Accor,spa,Sonoma
Disney Riviera Resort,United States of America,Walt Disney World Company,resort,Bay Lake
Anantara Hua Hin Resort & Spa,Thailand,Minor International,resort,Hua Hin
Marriott's Ko Olina Beach Club,United States of America,Marriott International,resort,Kapolei
Fairmont Sonoma Mission Inn & Spa,United States of America,Accor,resort,Sonoma
Hilton Bali Resort,Indonesia,Hilton Worldwide,resort,Bali
Encore Boston Harbor,United States of America,Wynn Resorts,resort,Everett
Chimelong International Ocean Resort,People's Republic of China,Chimelong,resort,Hengqin
Pearl River Resort,United States of America,Mississippi Band of Choctaw Indians,resort,Mississippi
