col0,col1,col2,col3
Sandomierz Voivodeship,Sandomierz,Stężyca Land,Sieradz Voivodeship
Kraków Voivodeship,Kraków,Szczyrzyc County,Sieradz Voivodeship
Sandomierz Voivodeship,Sandomierz,Stężyca Land,Kraków Voivodeship
Ruthenian Voivodeship,Lviv,Lwów Land,Kraków Voivodeship
Sandomierz Voivodeship,Sandomierz,Chęciny County,Kraków Voivodeship
Ruthenian Voivodeship,Lviv,Sanok Land,Kraków Voivodeship
Kraków Voivodeship,Kraków,Szczyrzyc County,Sandomierz Voivodeship
Volhynian Voivodeship,Lutsk,Lutsk County,Belz Voivodeship
Lublin Voivodeship,Lublin,Urzędów County,Belz Voivodeship
Ruthenian Voivodeship,Lviv,Sanok Land,Belz Voivodeship
