col0,col1,col2,col3
Tablelands Region,Malanda,Queensland,Tablelands Regional Council
South Burnett Region,Kingaroy,Queensland,South Burnett Regional Council
Scenic Rim Region,Beaudesert,Queensland,Scenic Rim Regional Council
Rockhampton Region,Rockhampton,Queensland,Rockhampton Regional Council
Shire of Quilpie,Quilpie,Queensland,Quilpie Shire Council
Aboriginal Shire of Lockhart River,Lockhart River,Queensland,Lockhart River Aboriginal Shire Council
Aboriginal Shire of Hope Vale,Hopevale,Queensland,Hope Vale Aboriginal Shire Council
Shire of Hinchinbrook,Ingham,Queensland,Hinchinbrook Shire Council
Gladstone Region,Gladstone,Queensland,Gladstone Regional Council
Shire of Croydon,Croydon,Queensland,Croydon Shire Council
Shire of Cloncurry,Cloncurry,Queensland,Cloncurry Shire Council
Charters Towers Region,Charters Towers,Queensland,Charters Towers Regional Council
Shire of Burke,Burketown,Queensland,Burke Shire Council
Aboriginal Shire of Yarrabah,Yarrabah,Queensland,Yarrabah Aboriginal Shire Council
City of Townsville,Townsville,Queensland,Townsville City Council
Torres Strait Island Region,Thursday Island,Queensland,Torres Strait Island Regional Council
Southern Downs Region,Warwick,Queensland,Southern Downs Regional Council
Somerset Region,Esk,Queensland,Somerset Regional Council
Shire of Richmond,Richmond,Queensland,Richmond Shire Council
Shire of Paroo,Cunnamulla,Queensland,Paroo Shire Council
