col0,col1,col2,col3
Bethlehem University,1973-01-01,State of Palestine,Bethlehem
Catholic University of Zimbabwe,1999-01-01,Zimbabwe,Harare
Université Catholique de Madagascar,1960-01-01,Madagascar,Antananarivo
Catholic University of Angola,1997-01-01,Angola,Luanda
Catholic University of Eastern Africa,1984-01-01,Kenya,Nairobi
Atma Jaya Catholic University of Indonesia,1960-01-01,Indonesia,Jakarta
Central American University,1965-01-01,El Salvador,San Salvador
Saint Thomas Aquinas University,1580-06-23,Colombia,La gran bretaña
University of Saint Louis Tuguegarao,1965-02-01,Philippines,Tuguegarao
Comboni College of Science & Technology,2001-01-01,Sudan,Khartoum
Catholic University of South Sudan,2008-01-01,South Sudan,Juba
Superior Institute of Religious Sciences of St. Thomas Aquinas,1992-01-01,Ukraine,Kyiv
Université Catholique de l'Afrique de l'Ouest,2000-01-01,Ivory Coast,Abidjan
Shirayuri Women's University,1881-01-01,Japan,Tokyo
Sophia University,1913-01-01,Japan,Tokyo
Universidad La Salle,1962-01-01,Mexico,Mexico City
University of the Salvador,1958-01-01,Argentina,Buenos Aires
University of San Carlos,1595-08-01,Philippines,Cebu City
Sathyabama University,1988-01-01,India,Chennai
Loyola College,1925-01-01,India,Chennai
