col0,col1,col2,col3
Iberostar Hotels & Resorts,Palma,sociedade anônima,1986-01-01
Dorint,Cologne,Gesellschaft mit beschränkter Haftung,2006-01-01
H10 Hotels,Barcelona,S.L.,1980-01-01
Delta Hotels,Toronto,operating subsidiary,1962-01-01
Hand Picked Hotels,Sevenoaks,private company limited by shares,1999-01-01
The Dedica Anthology,Milan,S.p.A.,2018-01-01
DoubleTree by Hilton,McLean,privately held company,1969-01-01
Hilton Hotels & Resorts,McLean,privately held company,1919-01-01
Hyatt Hotels Corporation,Chicago,privately held company,1957-09-27
Prince Hotels,Toshima-ku,kabushiki gaisha,1956-06-04
Hotel Okura,Minato-ku,kabushiki gaisha,1958-12-11
Toyoko Inn,Tokyo,kabushiki gaisha,1986-01-23
Hilton Worldwide,McLean,public company,1919-01-01
