col0,col1,col2,col3
National Museum of American History,"Washington, D.C.",1964-01-01,Anthea M. Hartig
National Archaeological Museum of Athens,Patission Street,1829-01-01,Maria Lagogianni-Georgakarakos
National Museum in Warsaw,Aleje Jerozolimskie,1862-05-20,Jerzy Miziołek
National Museum Zurich,Swiss National Museum Zurich (building),1898-01-01,Andreas Spillmann
Vatican Museums,Vatican City,1506-01-01,Barbara Jatta
Musée Rodin,Hôtel Biron,1916-01-01,Catherine Chevillot
Bavarian National Museum,Lehel,1855-01-01,Renate Eikelmann
National Museum of American History,"Washington, D.C.",1964-01-01,Frank A. Taylor
State Museum of Egyptian Art,State Museum of Egyptian Art in Gabelsbergerstraße,1966-01-01,Sylvia Schoske
Musée du quai Branly,7th arrondissement of Paris,2006-06-20,Jérôme Bastianelli
National Palace Museum,Shilin District,1925-10-10,Wu Mi-cha
Rijksmuseum,Royal Palace of Amsterdam,1800-01-01,Taco Dibbits
National Museum of American History,"Washington, D.C.",1964-01-01,Robert P. Multhauf
