col0,col1,col2,col3,col4,col5,col6
Chipewyan 201G,Alberta,UTC−07:00,905.3,Athabasca Chipewyan First Nation,230,Athabasca Chipewyan First Nation
Chipewyan 201F,Alberta,UTC−07:00,66.4,Athabasca Chipewyan First Nation,261,Athabasca Chipewyan First Nation
Chipewyan 201E,Alberta,UTC−07:00,4165.5,Athabasca Chipewyan First Nation,215,Athabasca Chipewyan First Nation
Chipewyan 201D,Alberta,UTC−07:00,4.3,Athabasca Chipewyan First Nation,230,Athabasca Chipewyan First Nation
Chipewyan 201C,Alberta,UTC−07:00,18.2,Athabasca Chipewyan First Nation,210,Athabasca Chipewyan First Nation
Chipewyan 201B,Alberta,UTC−07:00,19.4,Athabasca Chipewyan First Nation,223,Athabasca Chipewyan First Nation
Chipewyan 201A,Alberta,UTC−07:00,9515.6,Athabasca Chipewyan First Nation,217,Athabasca Chipewyan First Nation
Dog Head 218,Alberta,UTC−07:00,0.47,Mikisew Cree First Nation,213,Mikisew Cree First Nation
Cornwall Lake 224,Alberta,UTC−07:00,1.4,Mikisew Cree First Nation,318,Mikisew Cree First Nation
Collin Lake 223,Alberta,UTC−07:00,36.4,Mikisew Cree First Nation,296,Mikisew Cree First Nation
