col0,col1,col2,col3,col4,col5,col6
7th U-boat Flotilla,German Navy,Kiel,World War II,1945-05-08,Hans-Rudolf Rösing,flotilla
30th U-boat Flotilla,German Navy,Constanța,World War II,1944-01-01,Helmut Rosenbaum,flotilla
29th U-boat Flotilla,German Navy,La Spezia,World War II,1944-09-01,Fritz Frauenheim,flotilla
26th U-boat Flotilla,German Navy,Baltiysk,World War II,1945-01-01,Hans-Gerrit von Stockhausen,flotilla
2nd U-boat Flotilla,3rd U-boat Flotilla,Wilhelmshaven,World War II,1944-01-01,Viktor Schütze,flotilla
11th U-boat Flotilla,German Navy,Bergen,World War II,1945-01-01,Dietrich Zehle,flotilla
1st U-boat Flotilla,German Navy,Kiel,World War II,1944-09-01,Karl Dönitz,flotilla
5th U-boat Flotilla,German Navy,Kiel,World War II,1945-05-08,Karl-Heinz Moehle,military unit
31st U-boat Flotilla,German Navy,Hamburg,World War II,1945-05-04,Günter Wolff,military unit
22nd U-boat Flotilla,German Navy,Gdynia,World War II,1945-05-08,Heinrich Bleichrodt,military unit
24th U-boat Flotilla,German Navy,Gdynia,World War II,1945-01-01,Hannes Weingärtner,military unit
32nd U-boat Flotilla,German Navy,Hamburg,World War II,1945-05-08,Ulrich Heyse,military unit
21st U-boat Flotilla,German Navy,Kiel,World War II,1945-01-01,Otto Schuhart,military unit
7th U-boat Flotilla,German Navy,Kiel,World War II,1945-05-08,Hans-Rudolf Rösing,military unit
30th U-boat Flotilla,German Navy,Constanța,World War II,1944-01-01,Helmut Rosenbaum,military unit
