col0,col1,col2,col3,col4
West Virginia Schools for the Deaf and Blind,United States of America,West Virginia,school for the blind,1870-01-01
Virginia School for the Deaf and the Blind,United States of America,Virginia,school for the blind,1838-01-01
South Carolina School for the Deaf and Blind,United States of America,South Carolina,school for the blind,1849-01-01
Florida School for the Deaf and Blind,United States of America,Florida,school for the blind,1885-01-01
Colorado School for the Deaf and Blind,United States of America,Colorado,school for the blind,1874-01-01
Alaska State School for the Deaf and Hard of Hearing,United States of America,Anchorage,special school,1975-01-01
Virginia School for the Deaf and the Blind,United States of America,Virginia,special school,1838-01-01
The Model Secondary School,United States of America,"Washington, D.C.",special school,1969-01-01
South Carolina School for the Deaf and Blind,United States of America,South Carolina,special school,1849-01-01
Scranton School for Deaf and Hard-of-Hearing Children,United States of America,Pennsylvania,special school,2009-01-01
Robarts School for the Deaf,Canada,Ontario,special school,1973-01-01
Florida School for the Deaf and Blind,United States of America,Florida,special school,1885-01-01
Colorado School for the Deaf and Blind,United States of America,Colorado,special school,1874-01-01
St John's Catholic School for the Deaf,United Kingdom,Leeds,independent school,1870-01-01
