col0,col1,col2
Thomas More University,Thomas More,"333 Thomas More Parkway, Crestview Hills, KY, 41017-3495"
Susquehanna University,Susquehanna River,"514 University Ave, Selinsgrove, PA, 17870-1025"
Truman State University,Harry S. Truman,"100 E Normal Avenue, Kirksville, MO, 63501-4221"
Coppin State University,Fanny Jackson Coppin,"2500 West North Avenue, Baltimore, MD, 21216-3698"
DeSales University,Francis de Sales,"2755 Station Avenue, Center Valley, PA, 18034-9568"
Carlow University,County Carlow,"3333 Fifth Ave, Pittsburgh, PA, 15213-3165"
Gannon University,John Mark Gannon,"109 W Sixth St, Erie, PA, 16541-0001"
George Fox University,George Fox,"414 N Meridian St, Newberg, OR, 97132"
Franklin Pierce University,Franklin Pierce,"40 University Drive, Rindge, NH, 03461-0060"
"University of California, Hastings College of the Law",Serranus Clinton Hastings,"200 McAllister St, San Francisco, CA, 94102-4978"
Lincoln University,Abraham Lincoln,"1570 Baltimore Pike, Lincoln University, PA, 19352-0999"
Lamar University,Mirabeau B. Lamar,"4400 MLK Blvd, Beaumont, TX, 77705"
