col0,col1,col2,col3,col4
United States Postal Service Office of Inspector General,Arlington County,federal law enforcement agency of the United States,1996-01-01,United States Postal Service
U.S. Air Force Office of Special Investigations,Marine Corps Base Quantico,federal law enforcement agency of the United States,1948-01-01,United States Department of the Air Force
National Oceanic and Atmospheric Administration Fisheries Office for Law Enforcement,Silver Spring,federal law enforcement agency of the United States,1970-01-01,National Marine Fisheries Service
Hoover Dam Police,Boulder City,federal law enforcement agency of the United States,1931-01-01,United States Bureau of Reclamation
Financial Crimes Enforcement Network,Vienna,federal law enforcement agency of the United States,1990-04-25,United States Department of the Treasury
Coast Guard Investigative Service,Arlington County,federal law enforcement agency of the United States,1915-01-01,United States Coast Guard
Federal Protective Service,United States General Services Administration Building,federal law enforcement agency of the United States,1971-01-01,Cybersecurity and Infrastructure Security Agency
United States Postal Inspection Service,"Washington, D.C.",federal law enforcement agency of the United States,1772-01-01,United States Postal Service
United States Mint Police,"Washington, D.C.",federal law enforcement agency of the United States,1792-01-01,United States Mint
United States Department of Veterans Affairs Police,"Washington, D.C.",federal law enforcement agency of the United States,1973-01-01,United States Department of Veterans Affairs
United States Citizenship and Immigration Services,"Washington, D.C.",federal law enforcement agency of the United States,2003-03-01,United States Department of Homeland Security
United States Park Police,"Washington, D.C.",federal law enforcement agency of the United States,1791-01-01,National Park Service
United States Forest Service,Sidney Yates Building,federal law enforcement agency of the United States,1905-01-01,United States Department of Agriculture
