col0,col1,col2,col3,col4,col5,col6
2014 BNP Paribas Ope (men),United States of America,2014/03/06,2014 BNP Paribas Open – Men's Singles,tennis,Association of Tennis Professionals,ATP Tour Masters 1000
2014 Rio Open(men),Brazil,2014/02/17,2014 Rio Open – Men's Singles,tennis,Association of Tennis Professionals,ATP World Tour 500 series
211 BNP Paribas Oen e),United States of America,2011/03/22,2011 BNP Paribas Open – Men's Doubles,tennis,Association of Tennis Professionals,2011 ATP World Tour
2011 Mutua Madrid Open men),Spain,2011/05/01,2011 Mutua Madrid Open – Men's Singles,tennis,Association of Tennis Professionals,2011 ATP World Tour
2213 BNP Paribas Open (men),United States of America,2013/03/05,2013 BNP Paribas Open – Men's Singles,tennis,Association of Tennis Professionals,2013 ATP World Tour
2007 Rogers Cup (wonen),Canada,2007/08/13,2007 Rogers Cup – Doubles,tennis,Women's Tennis Association,2007 WTA Tour
2014 Apia Internatipnal Sydney (men),Australia,2014/01/06,2014 Apia International Sydney – Men's Singles,tennis,Association of Tennis Professionals,ATP World Tour 250 series
2011 Western & Southern Ophn (men),United States of America,2011/08/14,2011 Western & Southern Open – Men's Doubles,tennis,Association of Tennis Professionals,2011 ATP World Tour
2010 Pilot Pen Tenni (men),United States of America,2010/08/22,2010 Pilot Pen Tennis – Men's Doubles,tennis,Association of Tennis Professionals,2010 ATP World Tour
"2009 Pilot Pen""Tennis (men)",United States of America,2009/08/11,2009 Pilot Pen Tennis – Men's Doubles,tennis,Association of Tennis Professionals,2009 ATP World Tour
208 Pilot!Pen Tennis(men),United States of America,2008/08/17,2008 Pilot Pen Tennis – Men's Doubles,tennis,Association of Tennis Professionals,2008 ATP Tour
