col0,col1,col2
University of Texas Rio Grande Valley,2015-01-01,University of Texas System
Institute of Mathematics of the Czech Academy of Sciences,1947-03-14,Czech Academy of Sciences
Institut des Mondes Africains,2014-01-01,School for Advanced Studies in the Social Sciences
Laboratoire de recherche historique Rhône-Alpes,2003-01-01,Jean Moulin University - Lyon 3
University of Al-Qadisiyah,1987-01-01,Ministry of Higher Education and Scientific Research
Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences,1957-01-01,Siberian Branch of the Russian Academy of Sciences
United Institute of Informatics Problems of the National Academy of Sciences of Belarus,1965-01-01,National Academy of Sciences of Belarus
Institute of Cytology and Genetics,1957-01-01,Novosibirsk State University
University of Massachusetts Dartmouth,1895-01-01,University of Massachusetts
National Natural Science Foundation of China,1986-01-01,Ministry of Science and Technology of the People's Republic of China
National Institute for Agricultural and Food Research and Technology,1991-04-26,General Secretariat for Scientific Policy Coordination
National Institute of Health of Peru,1896-05-29,Ministry of Health
Islamic Azad University of Tabriz,1982-01-01,Islamic Azad University
"Faculty of Civil Engineering, University of Osijek",1976-01-01,University of Osijek
Spanish National Research Council,1939-11-24,"Ministry of Science, Innovation and Universities"
University of Calgary,1966-01-01,Alberta Gambling Research Institute
Utah State University,1888-01-01,Utah System of Higher Education
ELAM (Latin American School of Medicine) Cuba,1999-01-01,Ministry of Public Health
Palgrave Macmillan,2000-01-01,Macmillan Publishers
Charles de Gaulle University of humanities arts and social sciences,1970-01-01,Lille North of France University
