col0,col1,col2,col3
York College,City University of New York,"94-20 Guy R. Brewer Blvd, Jamaica, NY, 11451",New York
James A. Rhodes State College,University System of Ohio,"4240 Campus Dr, Lima, OH, 45804",Lima
Keene State College,University System of New Hampshire,"229 Main Street, Keene, NH, 03435-1506",Keene
East Georgia State College,University System of Georgia,"131 College Cir, Swainsboro, GA, 30401",Swainsboro
Central Ohio Technical College,University System of Ohio,"1179 University Drive, Newark, OH, 43055-1767",Newark
Chadron State College,Nebraska State College System,"1000 Main St, Chadron, NE, 69337-2690",Chadron
Elizabethtown Community and Technical College,Kentucky Community and Technical College System,"600 College Street Rd, Elizabethtown, KY, 42701-3081",Elizabethtown
Florence–Darlington Technical College,South Carolina Technical College System,"2715 W. Lucas Street, Florence, SC, 29501",Florence
Empire State College,State University of New York,"One Union Ave, Saratoga Springs, NY, 12866-4391",New York
College of Staten Island,City University of New York,"2800 Victory Blvd, Staten Island, NY, 10314",New York
Stevens–Henager College,Center for Excellence in Higher Education,"1350 W. 1890 S., West Haven, UT, 84401",West Haven
Big Sandy Community and Technical College,Kentucky Community and Technical College System,"1 Bert Combs Dr, Prestonsburg, KY, 41653",Prestonsburg
Brookhaven College,Dallas County Community College District,"3939 Valley View Ln, Farmers Branch, TX, 75244-4997",Farmers Branch
Borough of Manhattan Community College,City University of New York,"199 Chambers St, New York, NY, 10007",Manhattan
Belmont College,University System of Ohio,"68094 Hammond Road, Saint Clairsville, OH, 43950",Ohio
