col0,col1,col2,col3,col4,col5,col6,col7
2009-2010 Junior Grand Prix Final,2009-12-03,2009–2010 figure skating season,2009–2010 ISU Junior Grand Prix,Japan,International Skating Union,Yoyogi National Gymnasium,2009–2010 Grand Prix of Figure Skating Final
2008-2009 Junior Grand Prix Final,2008-12-10,2008–2009 figure skating season,2008–2009 ISU Junior Grand Prix,South Korea,International Skating Union,Goyang,2008–2009 Grand Prix of Figure Skating Final
2014–15 Grand Prix of Figure Skating Final,2014-12-11,2014–2015 figure skating season,2014–15 ISU Grand Prix of Figure Skating,Spain,International Skating Union,International Convention Centre of Barcelona,2014-2015 Junior Grand Prix Final
2017-2018 ISU Junior Grand Prix Final,2017-12-07,2017–18 figure skating season,2017–18 ISU Junior Grand Prix,Japan,International Skating Union,Nippon Gaishi Hall,2017–18 Grand Prix of Figure Skating Final
2019-2020 ISU Junior Grand Prix Final,2019-12-05,2019–20 figure skating season,2019–2020 ISU Junior Grand Prix,Italy,International Skating Union,Torino Palavela,2019–20 Grand Prix of Figure Skating Final
2019–20 Grand Prix of Figure Skating Final,2019-12-05,2019–20 figure skating season,2019–2020 ISU Grand Prix of Figure Skating,Italy,International Skating Union,Torino Palavela,2019-2020 ISU Junior Grand Prix Final
2018-2019 ISU Junior Grand Prix Final,2018-12-06,2018–19 figure skating season,2018–19 ISU Junior Grand Prix,Canada,International Skating Union,Doug Mitchell Thunderbird Sports Centre,2018–19 Grand Prix of Figure Skating Final
2018–19 Grand Prix of Figure Skating Final,2018-12-06,2018–19 figure skating season,2018–19 ISU Grand Prix of Figure Skating,Canada,International Skating Union,Doug Mitchell Thunderbird Sports Centre,2018-2019 ISU Junior Grand Prix Final
2017–18 Grand Prix of Figure Skating Final,2017-12-07,2017–18 figure skating season,2017–18 ISU Grand Prix of Figure Skating,Japan,International Skating Union,Nippon Gaishi Hall,2017-2018 ISU Junior Grand Prix Final
2010–2011 Grand Prix of Figure Skating Final,2010-12-08,2010–2011 figure skating season,2010–11 ISU Grand Prix of Figure Skating,People's Republic of China,International Skating Union,Capital Indoor Stadium,2010-2011 Junior Grand Prix Final
2009–2010 Grand Prix of Figure Skating Final,2009-12-02,2009–2010 figure skating season,2009–10 ISU Grand Prix of Figure Skating,Japan,International Skating Union,Yoyogi National Gymnasium,2009-2010 Junior Grand Prix Final
