col0,col1,col2,col3,col4,col5
Centre de mathématiques Laurent Schwartz,Palaiseau,1965-01-01,France,Yvan Martel,École Polytechnique
Institut des Mondes Africains,Paris,2014-01-01,France,Pierre Boilley,School for Advanced Studies in the Social Sciences
Institut du Thorax,Nantes,2004-01-01,France,Hervé Le Marec,University of Nantes
Chimie de la Matière Condensée de Paris,Paris,1997-01-01,France,Florence Babonneau,Collège de France
Institute for the History and Philosophy of Science and Technology,6th arrondissement of Paris,1932-01-01,France,Max Kistler,École normale supérieure
Institut de Biologie de l'École Normale Supérieure,Paris,2010-01-01,France,Antoine Triller,École normale supérieure
Centre Etudes Nucléaires de Bordeaux Gradignan,Gradignan,1997-01-01,France,Philippe Moretto,Bordeaux Segalen University
Laboratoire de recherche historique Rhône-Alpes,7th arrondissement of Lyon,2003-01-01,France,Bernard Hours,Jean Moulin University - Lyon 3
Laboratoire de Biologie Cellulaire et Moléculaire du Contrôle de la Prolifération,Toulouse,1999-01-01,France,Didier Trouche,Toulouse III University - Paul-Sabatier
Laboratoire de Linguistique Formelle,Paris,1972-01-01,France,Anne Abeillé,Paris Diderot University
Laboratoire de Cristallographie et RMN Biologiques,Paris,2000-01-01,France,Nicolas Leulliot,Paris Descartes University - Sorbonne Paris Cité
Laboratory of Theoretical and High Energy Physics,Paris,1997-01-01,France,Benoît Douçot,University of Paris VI: Pierre-and-Marie-Curie University
Evolution des Régulations Endocriniennes,Paris,2009-01-01,France,Giovanni Levi,Muséum national d'histoire naturelle
Archéozoologie et Archéobotanique,Paris,2009-01-01,France,Jean-Denis Vigne,Institut national de recherches archéologiques préventives
Laboratoire de Spectrochimie Infrarouge et Raman,Villeneuve-d'Ascq,1998-01-01,France,Guy Buntinx,National Center for Scientific Research
Architecture et Fonction des Macromolécules Biologiques,9th arrondissement of Marseille,2012-01-01,France,Yves Bourne,National Center for Scientific Research
Chemistry and Organic Synthesis Department,Palaiseau,1997-01-01,France,Samir Zard,École Polytechnique
"Centre d'études des mondes russe, caucasien et centre-uuropéen",Paris,2000-01-01,France,Catherine Gousseff,School for Advanced Studies in the Social Sciences
Archéologie et Histoire Ancienne : Méditerranée – Europe,Strasbourg,2007-01-01,France,Frédéric Colin,University of Strasbourg
