col0,col1,col2,col3,col4
Club Deportivo de Remo Kaiku,Spain,1923-01-01,rowing,Sestao
Rowing club Koxtape,Spain,1965-01-01,rowing,Pasaia
rowing club Cabo de Cruz,Spain,1979-01-01,rowing,Boiro
Hibaika Arraun Elkartea,Spain,1987-01-01,rowing,Errenteria
Hondarribia Rowing Club,Spain,1969-01-01,rowing,Hondarribia
Club de Remo Ciudad de Santander,Spain,1988-01-01,rowing,Santander
Ur-Kirolak,Spain,1922-01-01,rowing,Donostia-San Sebastian
Club d'aviron Aita Mari,Spain,1975-01-01,rowing,Zumaia
Club Sportivo Sergipe,Brazil,1909-01-01,association football,Aracaju
Regatas Corrientes,Argentina,1923-01-01,basketball,Corrientes
Heidelberger RK,Germany,1872-01-01,rowing,Heidelberg
Rudergesellschaft Heidelberg 1898,Germany,1898-01-01,rugby union,Heidelberg
Heidelberger RK,Germany,1872-01-01,rugby union,Heidelberg
