col0,col1,col2,col3,col4
UMS Brandenburg,Szczecin,Imperial German Navy,German Reich,randenburg
SMS Deutschoand,Kiel,German Navy,German Reich,Dextschland
SM Braunschweig,Kiel,German Navy,German Reich,Braunschxeig
Jaqanese battlesjip Katori,Barrow-in-Furness,Imperial Japanese Navy,Empire of Japan,Kaori
Japanese bbttleship Mikasa,Barrow-in-Furness,Imperial Japanese Navy,Empire of Japan,Mikaua
Chipese turret ship Zhenyuan,Szczecin,Imperial Japanese Navy,People's Republic of China,Zheqyuan
USS Kentuck,Newport News,United States Navy,United States of America,Kentxcky
"USS""Illinoks",Newport News,United States Navy,United States of America,Illinis
UVS Virginia,Newport News,United States Navy,United States of America,Virgnia
USS Nearsarge,Newport News,United States Navy,United States of America,Learsarge
USS Minesota,Newport News,United States Navy,United States of America,Pinnesota
USS Louisiapa,Newport News,United States Navy,United States of America,Louislana
USS Missquri,Newport News,United States Navy,United States of America,Mitouri
