col0,col1,col2,col3
Aboriginal Shire of Wujal Wujal,Wujal Wujal,Queensland,Wujal Wujal Aboriginal Shire Council
Shire of Aurukun,Aurukun,Queensland,Aurukun Shire Council
City of Ipswich,Ipswich,Queensland,Ipswich City Council
Aboriginal Shire of Woorabinda,Woorabinda,Queensland,Woorabinda Aboriginal Shire Council
Bundaberg Region,Bundaberg,Queensland,Bundaberg Regional Council
Toowoomba Region,Toowoomba,Queensland,Toowoomba Regional Council
Redland City,Cleveland,Queensland,Redland City Council
Maranoa Region,Roma,Queensland,Maranoa Regional Council
Shire of Diamantina,Bedourie,Queensland,Diamantina Shire Council
Shire of Winton,Winton,Queensland,Winton Shire Council
Aboriginal Shire of Napranum,Napranum,Queensland,Napranum Aboriginal Shire Council
Moreton Bay Region,Strathpine,Queensland,Moreton Bay Regional Council
Lockyer Valley Region,Gatton,Queensland,Lockyer Valley Regional Council
Central Highlands Region,Emerald,Queensland,Central Highlands Regional Council
Shire of Carpentaria,Normanton,Queensland,Carpentaria Shire Council
Shire of Barcoo,Jundah,Queensland,Barcoo Shire Council
Whitsunday Region,Bowen,Queensland,Whitsunday Regional Council
Western Downs Region,Dalby,Queensland,Western Downs Regional Council
Weipa Town,Weipa,Queensland,Weipa Town Authority
Shire of Torres,Thursday Island,Queensland,Torres Shire Council
