col0,col1,col2,col3,col4
2018 Brussels Cycling Classic,201.4,2018 Bora-Hansgrohe,43.91,Belgium
2018 Three Days of Bruges–De Panne,202.4,Katusha-Alpecin 2018,43.197,Belgium
2018 Scheldeprijs,200.4,Katusha-Alpecin 2018,45.57,Belgium
2018 Handzame Classic,199.1,Katusha-Alpecin 2018,44.6,Belgium
2017 Paris-Tours,234.5,Aqua Blue Sport 2017,43.581,France
2018 Trofeo Laigueglia,203.7,Israel Cycling Academy 2018,39.32,Italy
2017 Milano–Torino,186.0,Bahrain-Merida 2017,42.137,Italy
2017 Tre Valli Varesine,192.89,Bahrain-Merida 2017,40.03,Italy
2018 Clásica de Almería,185.1,Katusha-Alpecin 2018,40.32,Spain
2017 Trofeo Laigueglia,192.5,UAE Team Emirates 2017,39.283,Italy
2017 GP Industria & Artigianato di Larciano,199.2,Bahrain-Merida 2017,41.072,Italy
2016 Tre Valli Varesine,192.9,FDJ 2016,40.15,Italy
2017 Nokere Koerse,192.3,2017 Bora-Hansgrohe,46.615,Belgium
2017 Gran Premio Bruno Beghelli,196.3,Bahrain-Merida 2017,44.03,Italy
2017 Giro dell'Emilia,223.3,Bahrain-Merida 2017,40.376,Italy
