col0,col1,col2,col3,col4,col5,col6
1922 papal conclave,1922-02-02,1939 papal conclave,Adolf Bertram,Pius XI,pope,Sistine Chapel
1623 papal conclave,1623-07-19,1644 papal conclave,Carlo de' Medici,Urban VIII,pope,Apostolic Palace
October 1978 papal conclave,1978-10-14,2005 papal conclave,Hyacinthe Thiandoum,John Paul II,pope,Sistine Chapel
1431 papal conclave,1431-03-11,1447 papal conclave,Eugene IV,Eugene IV,pope,Santa Maria sopra Minerva
1484 papal conclave,1484-09-04,1492 papal conclave,Innocent VIII,Innocent VIII,pope,Apostolic Palace
1721 papal conclave,1721-03-31,1724 papal conclave,Innocent XIII,Innocent XIII,pope,Apostolic Palace
1691 papal conclave,1691-02-12,1700 papal conclave,Giannicolò Conti,Innocent XII,pope,Apostolic Palace
1464 papal conclave,1464-09-06,1471 papal conclave,Paul II,Paul II,pope,Apostolic Palace
1689 papal conclave,1689-08-23,1691 papal conclave,Alexander VIII,Alexander VIII,pope,Apostolic Palace
1370 papal conclave,1371-01-06,1378 papal conclave,Gregory XI,Gregory XI,pope,Palais des Papes
