col0,col1,col2,col3,col4,col5
Warmian-Masurian Voivodeship,Poland,Poland,Masovian Voivodeship,Elbląg,Olsztyn
Pomeranian Voivodeship,Poland,Poland,Warmian-Masurian Voivodeship,Puck County,Gdańsk
Greater Poland Voivodeship,Poland,Poland,Lower Silesian Voivodeship,Poznań,Poznań
Silesian Voivodeship,Poland,Poland,Lesser Poland Voivodeship,Bielsko-Biała,Katowice
Sieradz Voivodeship,Crown of the Kingdom of Poland,Greater Poland Province,Kraków Voivodeship,Wieluń Land,Sieradz
Greater Poland Voivodeship,Poland,Poland,Kuyavian-Pomeranian Voivodeship,Złotów County,Poznań
Podkarpackie Voivodeship,Poland,Poland,Lublin Voivodeship,Rzeszów,Rzeszów
Kuyavian-Pomeranian Voivodeship,Poland,Poland,Łódź Voivodeship,Bydgoszcz,Toruń
Greater Poland Voivodeship,Poland,Poland,West Pomeranian Voivodeship,Złotów County,Poznań
Opole Voivodeship,Poland,Poland,Lower Silesian Voivodeship,Krapkowice County,Opole
West Pomeranian Voivodeship,Poland,Poland,Greater Poland Voivodeship,Szczecin,Szczecin
