col0,col1,col2,col3,col4
di Rudinì IV Cabinet,1897-12-14,Kingdom of Italy,1898-06-01,Antonio Starabba di Rudinì
di Rudinì III Cabinet,1896-07-11,Kingdom of Italy,1897-12-14,Antonio Starabba di Rudinì
di Rudinì II Cabinet,1896-03-10,Kingdom of Italy,1896-07-11,Antonio Starabba di Rudinì
di Rudinì I Cabinet,1891-02-06,Kingdom of Italy,1892-05-15,Antonio Starabba di Rudinì
Minghetti II Cabinet,1873-07-10,Kingdom of Italy,1876-03-25,Marco Minghetti
Minghetti I Cabinet,1863-03-24,Kingdom of Italy,1864-09-28,Marco Minghetti
Zanardelli Cabinet,1901-02-15,Kingdom of Italy,1903-11-03,Giuseppe Zanardelli
Menabrea III Cabinet,1869-05-13,Kingdom of Italy,1869-12-14,Luigi Federico Menabrea
Menabrea II Cabinet,1868-01-05,Kingdom of Italy,1869-05-13,Luigi Federico Menabrea
Menabrea I Cabinet,1867-10-27,Kingdom of Italy,1868-01-05,Luigi Federico Menabrea
