col0,col1,col2,col3
Tolvaptan For Worsening Outpatient Heart Failure: Role of Copeptin In Identifying Responders,TROUPER,Sodium Potassium Chloride Symporter Inhibitors,congestive heart failure
Exenatide for Myocardial Protection During Reperfusion Study,EMPRES,Exenatide,acute myocardial infarction
Vemurafenib and Cobimetinib Combination in BRAF Mutated Melanoma With Brain Metastasis,CONVERCE,vemurafenib,brain metastasis
Allogeneic Stem Cell Transplantation Followed By Targeted Immune Therapy In Average Risk Leukemia,AML/MDS/JMML,tretinoin,myelodysplastic syndrome
Aggressive Medical Treatment Evaluation for Asymptomatic Carotid Artery Stenosis,AMTEC,losartan,coronary artery disease
Study of Vitamin D Supplementation on Improvement of Gums Health,VitaminD,cholecalciferol,rickets
Open Label Extension for Patients Coming From the Dosing Flexibility Study in Patients With Rheumatoid Arthritis (RA),Dose Flex II,Certolizumab pegol,arthritis
CYP2D6 Genotype on the Clinical Effect of Tamoxifen,ASTRRA-CYP2D6,tamoxifen,breast cancer
Azacytidine During Anti-tuberculosis Therapy,AZA,rifampicin,tuberculosis
Losartan for the Treatment of Pediatric NAFLD,STOP-NAFLD,losartan,Non-alcoholic fatty liver disease
MyNewOptions: An Online Study of Reproductive Life Planning and Contraceptive Action Planning,MyNewOptions,"Contraceptives, Postcoital",Reproductive life planning in women after kidney or liver transplantation
A Phase 1/2 Study of Lenalidomide in Combination With Bendamustine in Relapsed and Primary Refractory Hodgkin Lymphoma,LEBEN,lenalidomide,"Hodgkin's lymphoma, mixed cellularity"
