col0,col1,col2,col3,col4
Pachna,Communal Council of Pachna,UTC+02:00,Wine villages of Limassol District,manger
"Malia, Cyprus",Communal Council of Malia,UTC+02:00,Wine villages of Limassol District,Mallus
Kyperounta,Communal Council of Kyperounta,UTC+02:00,Pitsilia,Cyperus rotundus
Agios Mamas,Communal Council of Agios Mamas,UTC+02:00,Pitsilia,Mammes of Caesarea
Agridia,Communal Council of Agridia,UTC+02:00,Pitsilia,Ovis orientalis
Lofou,Communal Council of Lofou,UTC+02:00,Wine villages of Limassol District,hill
Prodromos,Communal Council of Prodromos,UTC+02:00,Marathasa Valley,John the Baptist
Treis Elies,Communal Council of Treis Elies,UTC+02:00,Marathasa Valley,3
Lemithou,Communal Council of Lemithou,UTC+02:00,Marathasa Valley,Andropogon gryllus
Palaiomylos,Communal Council of Palaiomylos,UTC+02:00,Marathasa Valley,watermill
