col0,col1,col2,col3,col4,col5,col6,col7
LSWR 177-class no. 244,1897-04-01,1435 mm track gauge,1867-07-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1867-06-01,2
LSWR 177-class no. 210,1896-06-01,1435 mm track gauge,1866-05-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1866-05-01,2
LSWR 177-class no. 209,1893-12-01,1435 mm track gauge,1866-04-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1866-04-01,2
LSWR 177-class no. 205,1888-12-01,1435 mm track gauge,1865-06-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1865-06-01,2
LSWR 177-class no. 204,1898-07-01,1435 mm track gauge,1865-06-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1865-06-01,2
LSWR 177-class no. 203,1888-12-01,1435 mm track gauge,1865-06-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1865-06-01,2
LSWR 177-class no. 194,1898-06-01,1435 mm track gauge,1863-12-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1863-12-01,2
LSWR 177-class no. 193,1895-01-01,1435 mm track gauge,1863-12-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1863-12-01,2
LSWR 177-class no. 192,1894-09-01,1435 mm track gauge,1863-12-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1863-12-01,2
LSWR 177-class no. 191,1895-06-01,1435 mm track gauge,1863-12-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1863-12-01,2
LSWR 177-class no. 190,1892-12-01,1435 mm track gauge,1863-12-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1863-12-01,2
LSWR 177-class no. 189,1897-06-01,1435 mm track gauge,1863-12-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1863-12-01,2
LSWR 177-class no. 188,1895-11-01,1435 mm track gauge,1863-12-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1863-12-01,2
LSWR 177-class no. 187,1894-06-01,1435 mm track gauge,1863-11-01,London and South Western Railway,United Kingdom of Great Britain and Ireland,1863-11-01,2
