col0,col1,col2,col3,col4,col5
Sunweb 2017,Giant-Alpecin 2016,Sunweb,Sunweb 2018,Iwan Spekenbrink,Luke Roberts
Christina Jewelry 2016,Stuttgart 2015,Christina Jewelry,0711/Cycling 2017,Julian Rammler,Olaf Pollack
Drapac 2016,Drapac 2015,Drapac,Drapac-Pat's Veg Holistic Development 2017,Jonathan Breekveldt,Tom Southam
Orica-BikeExchange 2016,Orica-GreenEDGE 2015,Orica-GreenEDGE,Orica-Scott 2017,Shayne Bannan,David McPartland
Silber 2016,Silber 2015,Silber,Silber 2017,Scott McFarlane,Scott McFarlane
Leopard 2016,Leopard Development 2015,Leopard,Leopard 2017,Markus Zingen,Markus Zingen
Superano Ham-Isorex 2016,Superano Ham-Isorex 2015,Superano Ham-Isorex,Tarteletto-Isorex 2017,Peter Bauwens,Peter Bauwens
UnitedHealthcare 2017,UnitedHealthcare 2016,UnitedHealthcare,UnitedHealthcare 2018,Michael Tamayo,Michael Tamayo
Cibel-Cebon 2016,Cibel 2015,Cibel-Cebon,Cibel-Cebon 2017,Gaspard Van Petegem,Gaspard Van Petegem
Madison Genesis 2016,Madison Genesis 2015,Madison Genesis,Madison Genesis 2017,David Povall,David Povall
Bridgestone Anchor 2016,Bridgestone Anchor 2015,Bridgestone Anchor,Bridgestone Anchor 2017,Mitsuhiro Suzuki,Takehiro Mizutani
African Wildlife Safaris 2014,African Wildlife Safaris 2013,African Wildlife Safaris,African Wildlife Safaris 2015,Stephen V. Cameron,Joel Pearson
Garneau-Québecor 2016,Garneau-Québecor 2015,Garneau-Québecor,Garneau-Québecor 2017,Louis Garneau,Pascal Hervé
Gazprom-RusVelo 2016,RusVelo 2015,Gazprom-RusVelo,Gazprom-RusVelo 2017,Renat Khamidulin,Sergei Ivanov
Trek-Segafredo 2016,Trek Factory Racing 2015,Trek-Segafredo,Trek-Segafredo 2017,Luca Guercilena,Yaroslav Popovych
