col0,col1,col2,col3,col4,col5,col6
di Rudinì V Cabinet,Kingdom of Italy,1898-06-29,Pelloux I Cabinet,di Rudinì IV Cabinet,Government of the Kingdom of Italy,1898-06-01
di Rudinì III Cabinet,Kingdom of Italy,1897-12-14,di Rudinì IV Cabinet,di Rudinì II Cabinet,Government of the Kingdom of Italy,1896-07-11
Zanardelli Cabinet,Kingdom of Italy,1903-11-03,Giolitti II Cabinet,Saracco Cabinet,Government of the Kingdom of Italy,1901-02-15
Salandra II Cabinet,Kingdom of Italy,1916-06-18,Boselli Cabinet,Salandra I Cabinet,Government of the Kingdom of Italy,1914-11-05
Pelloux I Cabinet,Kingdom of Italy,1899-05-14,Pelloux II Cabinet,di Rudinì V Cabinet,Government of the Kingdom of Italy,1898-06-29
Fortis I Cabinet,Kingdom of Italy,1905-12-24,Fortis II Cabinet,Tittoni Cabinet,Government of the Kingdom of Italy,1905-03-28
Depretis VIII Cabinet,Kingdom of Italy,1887-07-29,Crispi I Cabinet,Depretis VII Cabinet,Government of the Kingdom of Italy,1887-04-04
Depretis VI Cabinet,Kingdom of Italy,1885-06-29,Depretis VII Cabinet,Depretis V Cabinet,Government of the Kingdom of Italy,1884-03-30
Depretis IV Cabinet,Kingdom of Italy,1883-05-25,Depretis V Cabinet,Cairoli III Cabinet,Government of the Kingdom of Italy,1881-05-29
Crispi I Cabinet,Kingdom of Italy,1889-03-09,Crispi II Cabinet,Depretis VIII Cabinet,Government of the Kingdom of Italy,1887-07-29
Cairoli III Cabinet,Kingdom of Italy,1881-05-29,Depretis IV Cabinet,Cairoli II Cabinet,Government of the Kingdom of Italy,1879-11-25
