col0,col1,col2,col3,col4,col5,col6,col7
Karnataka Legislative Assembly,Karnataka,Vidhan Sabha,India,225,Member of the Karnataka Legislative Assembly,224,Karnataka Legislature
Jammu and Kashmir Legislative Assembly,Jammu and Kashmir,Vidhan Sabha,India,89,member of the Jammu and Kashmir Legislative Assembly,87,Jammu and Kashmir Legislature
Haryana Legislative Assembly,Haryana,Vidhan Sabha,India,90,Member of the Haryana Legislative Assembly,90,Government of Haryana
Goa Legislative Assembly,Goa,Vidhan Sabha,India,40,Member of the Goa Legislative Assembly,40,Government of Goa
Odisha Legislative Assembly,Odisha,Vidhan Sabha,India,147,Member of the Odisha Legislative Assembly,147,Government of Odisha
Delhi Legislative Assembly,Delhi,Vidhan Sabha,India,70,Member of the Delhi Legislative Assembly,70,Government of Delhi
Chhattisgarh Legislative Assembly,Chhattisgarh,Vidhan Sabha,India,91,Member of the Chhattisgarh Legislative Assembly,90,Government of Chhattisgarh
Bihar Legislative Assembly,Bihar,Vidhan Sabha,India,243,Member of the Bihar Legislative Assembly,243,Bihar Legislature
Assam Legislative Assembly,Assam,Vidhan Sabha,India,126,Member of the Assam Legislative Assembly,126,Government of Assam
Himachal Pradesh Legislative Assembly,Himachal Pradesh,Vidhan Sabha,India,68,Member of the Himachal Pradesh Legislative Assembly,68,Government of Himachal Pradesh
Kerala Legislative Assembly,Kerala,Vidhan Sabha,India,141,Member of the Kerala Legislative Assembly,140,Government of Kerala
