col0,col1,col2,col3
"Embassy of Germany, Dakar",1960-01-01,Dakar,Dakar
"Embassy of Norway, Tokyo",1905-01-01,Minami-Azabu,Minato-ku
"Embassy of the United Kingdom, Vilnius",1991-10-01,Vilnius,Vilnius District Municipality
"Embassy of Norway, Seoul",1980-01-01,Jung District,Seoul
"Embassy of Ukraine, Tallinn",1993-10-01,Kadriorg,Tallinn City
"Embassy of Sri Lanka, Warsaw",1957-01-01,Warsaw,Wilanów
"Embassy of Belarus in Washington, D.C.",1992-01-01,Dupont Circle,"Washington, D.C."
"Embassy of Poland, Prague",1919-01-01,Furstenberg Palace,Prague
"Mauritian Embassy, Berlin",2000-01-01,Tiergarten,Mitte
"Embassy of the United States, Jerusalem",2018-05-14,Arnona,Jerusalem
embassy of Iran in Austria,1878-01-01,Palais Sigray Saint-Marsan,Vienna
embassy of Italy in France,1861-01-01,Hôtel de Boisgelin,Paris
Embassy of Lesotho in Germany,1979-01-01,Tiergarten,Berlin
embassy of Eritrea in Germany,1999-01-01,Pankow,Pankow
