col0,col1,col2,col3,col4,col5
Laboratoire des Systèmes Perceptifs,Paris,2014-01-01,France,Pascal Mamassian,École normale supérieure
Archéologie et Archéométrie,Lyon,2001-01-01,France,Nicolas Reveyron,Claude Bernard University Lyon 1
Laboratoire de Physique Statistique,5th arrondissement of Paris,1998-01-01,France,Jorge Kurchan,University of Paris VI: Pierre-and-Marie-Curie University
Institut de Mathématiques de Bourgogne,Dijon,1995-01-01,France,Luis París,University of Burgundy
Centre Georges Chevrier,Dijon,1969-01-01,France,Bertrand Tillier,University of Burgundy
Centre d'Etudes Biologiques de Chizé,Villiers-en-Bois,1990-01-01,France,Xavier Bonnet,National Center for Scientific Research
LIAFA,13th arrondissement of Paris,2014-01-01,France,Pierre Fraigniaud,National Center for Scientific Research
Groupe d'Etude des Méthodes de l'Analyse Sociologique de la Sorbonne,Paris,1971-01-01,France,Olivier Galland,National Center for Scientific Research
Institutions et Dynamiques Historiques de l'Economie et de la Société,Paris,1998-01-01,France,Michel Margairaz,École normale supérieure Paris-Saclay
Center for Historical Studies,Paris,1949-01-01,France,Florent Brayard,School for Advanced Studies in the Social Sciences
Institut de Mathématiques de Marseille,13th arrondissement of Marseille,2014-01-01,France,Raphaèle Herbin,École Centrale de Marseille
Institut de Science et d'Ingénierie Supramoléculaires,Strasbourg,2006-01-01,France,Paolo Samorì,University of Strasbourg
Institut d'histoire moderne et contemporaine,5th arrondissement of Paris,1978-01-01,France,Claire Zalc,École normale supérieure
Verimag,Gières,1999-01-01,France,Nicolas Halbwachs,National Center for Scientific Research
Laboratoire Méditerranéen de Préhistoire Europe Afrique,Aix-en-Provence,2012-01-01,France,Jean-Pierre Bracco,National Center for Scientific Research
"Institut de Systématique, Évolution, Biodiversité",Paris,2009-01-01,France,Philippe Grandcolas,École pratique des hautes études
Centre Georg Simmel,Paris,2002-01-01,France,Bénédicte Zimmermann,School for Advanced Studies in the Social Sciences
Pathologie et Virologie Moléculaire,10th arrondissement of Paris,2009-01-01,France,Hugues de Thé,Collège de France
Laboratory of Molecular Anthropology and Image Synthesis,Toulouse,2011-01-01,France,Eric Crubézy,University of Strasbourg
