col0,col1,col2,col3,col4,col5
Grand Rapids Yacht Club,Michigan,East Grand Rapids,United States of America,yacht club,1931-01-01
Gatineau River Yacht Club,Quebec,Chelsea,Canada,yacht club,1962-09-02
Dobson Yacht Club,Nova Scotia,"Westmount, Nova Scotia",Canada,yacht club,1953-01-01
Cruising Yacht Club of Australia,New South Wales,Sydney,Australia,yacht club,1944-01-01
Cowan Lake Sailing Association,Clinton County,Ohio,United States of America,yacht club,1954-01-01
Britannia Yacht Club,Ontario,Ottawa,Canada,yacht club,1887-01-01
Bay of Quinte Yacht Club,Ontario,Belleville,Canada,yacht club,1876-01-01
Barrachois Harbour Yacht Club,Nova Scotia,"Barrachois, Colchester County",Canada,yacht club,1996-04-17
Armdale Yacht Club,Nova Scotia,Halifax,Canada,yacht club,1947-01-01
Helsingfors Segelsällskap,Helsinki,Liuskasaari,Finland,yacht club,1893-01-01
Circolo Vela Gargnano,Lombardy,Gargnano,Italy,yacht club,1950-01-01
