col0,col1,col2,col3
Beijing Students' Autonomous Federation,People's Republic of China,1989-04-23,Old Summer Palace
Shabtai,United States of America,1996-01-01,New Haven
University Federation of Cordoba,Argentina,1918-01-01,Córdoba
Fox Club,United States of America,1898-01-01,Harvard University
Bloc d'Estudiants Agermanats,Spain,1984-01-01,Valencia
Zelena Khvylia EcoClub,Ukraine,2006-01-01,Kyiv
Nereus Rowing Club,Netherlands,1885-01-01,"Nereus, botenhuis"
Scroll and Key,United States of America,1842-01-01,Yale University
Estonian Students' Society,Estonia,1870-01-01,Tartu
Corps Silesia Breslau zu Frankfurt (Oder),Germany,1821-05-24,Frankfurt (Oder)
Vlaamse Technische Kring Gent vzw,Belgium,1922-01-01,Ghent
Phi Sigma Alpha,United States of America,1928-10-22,Puerto Rico
Akhil Bharatiya Vidyarthi Parishad,India,1948-01-01,Mumbai
C.S. Veritas,Netherlands,1889-01-01,Utrecht
European Law Students' Association,Spain,1981-01-01,Brussels
Weitblick,Germany,2008-01-01,Berlin
Association of Christian Democratic Students,Germany,1951-01-01,Berlin
Students for a Democratic Society,United States of America,1960-01-01,United States of America
