col0,col1,col2,col3
Plzeňský Prazdroj,1994,Czech Republic,Asahi Brands Europe
Ashton-Tate,1750,United States of America,Borland
Finitrading,13692,Czech Republic,Moravia Steel
EMI,15000,United Kingdom,Studios 301
Alenia,13910,Italy,Alenia Aermacchi
PeopleSoft,12163,United States of America,Oracle Corporation
Foxconn CZ,922,Czech Republic,Foxconn European Manufacturing Services
Vítkovice Holding,5202,Czech Republic,Cylinders Holding
O2 Czech Republic,5381,Czech Republic,Česká telekomunikační infrastruktura
Vítkovice Holding,5202,Czech Republic,Vítkovice
B&N Bank,5500,Russia,Otkritie FC Bank
Learjet,4975,United States of America,Bombardier Aerospace
Siebel Systems,5000,United States of America,Oracle Corporation
Delvita,2536,Czech Republic,Billa
