col0,col1,col2,col3,col4,col5,col6
Blinatumomab in Treating Younger Patients With Relapsed B-cell Acute Lymphoblastic Leukemia,598,hydrocortisone hemisuccinate,2022-10-31,phase III clinical trial,Vanderbilt University,Burkitt lymphoma
Evaluation of Safety of Pomalidomide in Combination With Dexamethasone,682,thalidomide,2019-12-11,phase III clinical trial,University of Bologna,multiple myeloma
Pomalidomide and Dexamethasone With or Without Ixazomib in Treating Patients With Relapsed Multiple Myeloma,73,thalidomide,2021-03-01,phase I clinical trial,West Virginia University,multiple myeloma
"Olaparib and Cediranib Maleate in Treating Patients With Recurrent Ovarian, Primary Peritoneal, or Fallopian Tube Cancer",70,maleic acid,2019-10-31,phase II clinical trial,University of South Florida,adenocarcinoma
Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee,3021,diclofenac,2018-10-01,phase III clinical trial,Chungnam National University,osteoarthritis
Cognitive Effects of Vinpocetine in Healthy Adults and Patients With Epilepsy,30,vinpocetine,2019-08-01,phase I clinical trial,Stanford University,epilepsy
"Olaparib and Cediranib Maleate in Treating Patients With Recurrent Ovarian, Primary Peritoneal, or Fallopian Tube Cancer",70,maleic acid,2019-10-31,phase II clinical trial,University of South Florida,carcinoma
Osimertinib and Navitoclax in Treating Patients With EGFR-Positive Previously Treated Advanced or Metastatic Non-small Cell Lung Cancer,50,navitoclax,2019-07-30,phase I clinical trial,University of South Florida,carcinoma
A Study to Compare the Efficacy and Safety of Obinutuzumab + Venetoclax,445,Obinutuzumab,2018-08-17,phase III clinical trial,University of South Florida,leukemia
Blinatumomab in Treating Younger Patients With Relapsed B-cell Acute Lymphoblastic Leukemia,598,etoposide,2022-10-31,phase III clinical trial,Université du Québec à Trois-Rivières,Burkitt lymphoma
"A Study to Determine Dose and Tolerability of CC-220 Monotherapy, in Combination With Dexamethasone, and in Combination With Dexamethasone and Daratumumab or Bortezomib in Subjects With Relapsed and Refractory Multiple Myeloma",154,cyclophosphamide,2021-03-16,phase I clinical trial,Beth Israel Deaconess Medical Center,multiple myeloma
Standard-Dose Combination Chemotherapy or High-Dose Combination Chemotherapy and Stem Cell Transplant in Treating Patients With Relapsed or Refractory Germ Cell Tumors,420,cisplatin,2024-06-01,phase III clinical trial,Vanderbilt University,endodermal sinus tumor
