col0,col1,col2,col3,col4,col5
Nagaoka Domain,Zaōdō Domain,1616-01-01,Echigo Province,1870-11-15,Kashiwazaki Prefecture
Zeze Domain,Ōtsu Domain,1601-01-01,Ōmi Province,1871-01-01,Ōtsu Prefecture
Ōmizo Domain,Ise-Ueno Domain,1619-01-01,Ōmi Province,1871-01-01,Ōtsu Prefecture
Tendō Domain,Takahata Domain,1830-01-01,Murayama District,1871-01-01,Yamagata Prefecture
Mikusa Domain,Takayanagi Domain,1746-01-01,Harima Province,1871-01-01,Shikama Prefecture
Ryūgasaki Domain,Ōami Domain,1871-04-06,Hitachi Province,1871-01-01,Niihari Prefecture
Asao Domain,Kumozu Domain,1603-01-01,Bitchū Province,1871-01-01,Oda Prefecture
Yoshimi Domain,Mikami Domain,1870-01-01,Izumi Province,1871-01-01,Sakai Prefecture
Fukiage Domain,Goi Domain,1842-01-01,Shimotsuke Province,1871-01-01,Tochigi Prefecture
Ono Domain,Kawanoe Domain,1637-01-01,"Katō District, Hyōgo",1871-01-01,Shikama Prefecture
