col0,col1,col2,col3,col4
Shensa Saveh FSC,Iranian Futsal Super League,football club,futsal,Fajr-e Felestin Hall
Shahrvand Sari FSC,Iranian Futsal Super League,football club,futsal,Sayed Rasoul Hosseini Arena
Kish Air Qom FSC,Iranian Futsal Super League,football club,futsal,Shahid Heidarian Arena
Gostaresh Foolad Tabriz FSC,Iranian Futsal Super League,football club,futsal,Shahid Pour Sharifi Arena
Giti Pasand Isfahan FSC,Iranian Futsal Super League,football club,futsal,Pirouzi Arena
Firooz Sofeh FSC,Iranian Futsal Super League,football club,futsal,Pirouzi Arena
FC Andorra Futsal,Segunda División de Futsal,football club,futsal,Poliesportiu d'Andorra
UD Guadalajara FS,Segunda División B de Futsal,football club,futsal,Palacio Multiusos de Guadalajara
Shriker Osaka,F. League,football club,futsal,Osaka Municipal Central Gymnasium
KMF SAS,Prva Futsal Liga,football club,futsal,Medison Hall
Foolad Mahan FSC,Iranian Futsal Super League,football club,futsal,Pirouzi Arena
FK Nikars,Latvian Futsal Premier League,football club,futsal,Olympic Sports Centre
Espolada Hokkaido,F. League,football club,futsal,Hokkaido Prefectural Sports Center
