col0,col1,col2,col3,col4
Space Center Houston,visitor centre,Houston,United States of America,1992-10-16
EXPERYMENT Science Centre,cultural institution,Gdynia,Poland,2006-01-01
Sagastad,science center,Nordfjordeid,Norway,2019-05-10
futurea,science center,Lutherstadt Wittenberg,Germany,2016-01-01
Hydropolis,science center,Wrocław,Poland,2015-01-01
Phänomenta,science center,Flensburg,Germany,1995-01-01
Pyongyang Sci-Tech Complex,science center,Pyongyang,North Korea,2015-01-01
EXPERYMENT Science Centre,science center,Gdynia,Poland,2006-01-01
ITU Science Center,science center,Istanbul Province,Turkey,2007-01-01
Techmania Science Center,science center,Plzeň,Czech Republic,2005-01-01
