col0,col1,col2,col3,col4,col5
UAE Team Emirates 2017,Lampre-Merida 2016,UAE Emirates,UAE Emirates 2018,Carlo Saronni,Mario Scirea
Trek-Segafredo 2017,Trek-Segafredo 2016,Trek-Segafredo,Trek-Segafredo 2018,Luca Guercilena,Ivan Basso
Gazprom-RusVelo 2018,Gazprom-RusVelo 2017,Gazprom-RusVelo,Gazprom-RusVelo 2019,Heiko Salzwedel,Sergei Ivanov
2016 Etixx-Quick Step,Etixx-Quick Step 2015,Etixx-Quick Step,2017 Quick-Step Floors,Patrick Lefevere,Brian Holm
Interpro Academy 2017,Neilpryde-Nanshin Subaru 2016,Interpro Academy,Interpro Stradalli 2018,Stephan Forest,Stephan Forest
Raleigh GAC 2016,Raleigh GAC 2015,Raleigh GAC,Raleigh–GAC 2017,Cherie Pridham,Cherie Pridham
Home-Jack & Jones 1999,Home-Jack & Jones 1998,Home-Jack & Jones,Memory Card-Jack & Jones 2000,Torben Kølbæk,Torben Kølbæk
Holowesko Citadel-Arapahoe Resources 2018,Holowesko-Citadel-Hincapie Sportswear 2017,Holowesko-Citadel,2019 Arapahoe - Hincapie p/b BMC,George Hincapie,George Hincapie
Ukyo 2018,Ukyo 2017,Team Ukyo,2019 Ukyo,Ukyo Katayama,Ukyo Katayama
Ukyo 2016,Ukyo 2015,Ukyo,Ukyo 2017,Ukyo Katayama,Ukyo Katayama
Lupus Racing 2015,Lupus Racing 2014,Lupus Racing,Lupus Racing 2016,Brenden Sullivan,Steve Carpenter
Pishgaman Giant 2016,Pishgaman Giant 2015,Pishgaman Giant,Pishgaman Cycling Team 2017,Poor Mahdi PishKoohi,Seyed Mostafa Sajjadi
Almeborg-Bornholm 2015,Bornholm 2014,Almeborg-Bornholm,Almeborg-Bornholm 2016,Frank Andreasen,Christian Juul Andreasen
Roubaix Lille Métropole 2010,Roubaix Lille Métropole 2009,Roubaix Lille Métropole,Roubaix Lille Métropole 2011,Jean-Charles Canonne,Frédéric Delcambre
