col0,col1,col2,col3,col4,col5,col6
Carta Geral do Estado de S. Paulo (1946),paper,illustration,1946-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Valdemar Lefèvre
Carta Planimetrica do Brasil,paper,drawing,1937-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Roberto Simonsen
Mappa Topographico do Município de São Paulo - Folha 6 - 7,paper,copy,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 28 - 29 - 30,paper,copying,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 54,paper,copying,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - 27 - 28,paper,illustration,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 11,paper,illustration,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 12,paper,photograph,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 53,paper,copying,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Agenor Machado
Mappa Topographico do Municipio de São Paulo - Folha 61,paper,copy,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 72,paper,copy,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 58 - 59,paper,copy,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 52,paper,copying,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 52,paper,copying,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 67,paper,copy,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 57,paper,copy,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 69,paper,copy,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Município de São Paulo - Folha 30 - 31 - 31Bis,paper,copying,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 56,paper,copying,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
Mappa Topographico do Municipio de São Paulo - Folha 55,paper,copying,1930-01-01,João Baptista de Campos Aguirra Collection,Museu Paulista,Georges Corbisier
