col0,col1,col2,col3
Fruitopia,United States of America,1994-01-01,The Coca-Cola Company
Bibo,Canada,1998-01-01,The Coca-Cola Company
Powers,Ireland,1791-01-01,Irish Distillers
Paddy Whiskey,Ireland,1879-01-01,Irish Distillers
Cracovia vodka,Poland,1995-01-01,Polmos
Booker's,Kentucky,1988-01-01,Beam Inc.
Basil Hayden's,Kentucky,1992-01-01,Beam Inc.
Monopolowa,Poland,1782-01-01,Gessler
Floats,United States of America,2008-01-01,Dr Pepper Snapple Group
A&W Cream Soda,United States of America,1986-01-01,Dr Pepper Snapple Group
Absolwent,Poland,1995-01-01,Polmos Białystok
Asahi Point Zero,Japan,2009-09-01,Asahi Breweries
