col0,col1,col2
Socialist Party of Andalusia,2001-01-01,2011-01-01
Partido Galeguista Demócrata,2004-01-01,2012-01-01
Democratic Party of the New Left,1997-01-01,2001-01-01
Liberal Democratic Party (Spain),1984-01-01,1984-01-01
Democratic Reformist Party,1984-01-01,1986-01-01
"People's Party (Spain, 1976)",1976-01-01,1977-01-01
Nationalist Canarian Assembly,1989-01-01,1991-01-01
Partido Galeguista,1984-01-01,1988-01-01
Nationalist Left,1992-01-01,2012-01-01
Galician Left,1980-01-01,1984-01-01
Liberal Democratic Centre,2006-02-14,2014-02-24
Communist Party of Spain,1968-01-01,1980-01-01
Commitment to Aragon,2018-02-01,2018-05-23
Partido Demócrata Popular,1974-12-01,1977-12-16
Republican Union,1903-03-26,1917-04-01
Falange Española,1933-10-29,1934-02-15
Spanish Falange of the JONS (Auténtica),1976-05-29,1980-12-06
Unified Socialist Party of Andalusia,1978-01-01,1978-01-01
Green Left–Initiative for the Valencian Country,2001-01-01,2004-01-01
Entesa de l'Esquerra de Menorca,1987-01-01,1994-01-01
