col0,col1,col2,col3,col4,col5
Fire fighter dies after returning from a call involving smoke in an apartment building - Massachusetts,occupational cardiovascular disease,National Institute for Occupational Safety and Health,1999-05-24,Thomas R. Hales,Fire fighter dies after returning from a call involving smoke in an apartment building - Massachusetts
Fire fighter collapses and dies due to a cardiac arrest at a training exercise - Indiana,occupational cardiovascular disease,National Institute for Occupational Safety and Health,2000-05-09,Thomas R. Hales,Fire fighter collapses and dies due to a cardiac arrest at a training exercise - Indiana
Driver/operator/fire fighter suffers a heart attack and dies while supporting fire suppression activities - New York,occupational cardiovascular disease,National Institute for Occupational Safety and Health,2000-11-09,Thomas R. Hales,Driver/operator/fire fighter suffers a heart attack and dies while supporting fire suppression activities - New York
"HHE Report No. HETA-85-065-1578, United Hospital, Grand Forks, North Dakota",ethylene oxide,National Institute for Occupational Safety and Health,1985-04-01,Bobby J. Gunter,"HHE Report No. HETA-85-065-1578, United Hospital, Grand Forks, North Dakota"
"HHE determination report no. HHE-73-110-278, Evans Products Company, Missoula, Montana",beta-pinene,National Institute for Occupational Safety and Health,1976-04-01,Bobby J. Gunter,"HHE determination report no. HHE-73-110-278, Evans Products Company, Missoula, Montana"
"HHE Report No. HETA-87-142-1802, C. F. and I. Steel Corporation, Pueblo, Colorado",trichloroethane,National Institute for Occupational Safety and Health,1987-06-01,Bobby J. Gunter,"HHE Report No. HETA-87-142-1802, C. F. and I. Steel Corporation, Pueblo, Colorado"
"HHE Report No. HETA-83-430-1451, A and H Sunlight Lettering and Trophy, Glenwood Springs, Colorado",trichloroethane,National Institute for Occupational Safety and Health,1984-04-01,Bobby J. Gunter,"HHE Report No. HETA-83-430-1451, A and H Sunlight Lettering and Trophy, Glenwood Springs, Colorado"
"HHE determination report no. HHE-73-84-119, Head SKI Company, Boulder, Colorado",styrene,National Institute for Occupational Safety and Health,1974-03-01,Bobby J. Gunter,"HHE determination report no. HHE-73-84-119, Head SKI Company, Boulder, Colorado"
"HHE Report No. HETA-85-137-1648, Hirschfield Press, Denver, Colorado",methanol,National Institute for Occupational Safety and Health,1986-01-01,Bobby J. Gunter,"HHE Report No. HETA-85-137-1648, Hirschfield Press, Denver, Colorado"
"Health hazard evaluation report: HHE-71-11-2, Crane Company, St. Louis, Missouri",chromium,National Institute for Occupational Safety and Health,1972-03-01,Bobby J. Gunter,"Health hazard evaluation report: HHE-71-11-2, Crane Company, St. Louis, Missouri"
"HHE Report No. HETA-92-0381-2445, Ornamental Plant Nurseries, Florida",benomyl,National Institute for Occupational Safety and Health,1994-08-01,Max J. Kiefer,"HHE Report No. HETA-92-0381-2445, Ornamental Plant Nurseries, Florida"
In-depth survey report: comparison of biohazard detection system capture efficiencies of an existing advanced facer canceller sy,sulfur hexafluoride,National Institute for Occupational Safety and Health,2009-08-01,David A. Marlow,"In-depth survey report: comparison of biohazard detection system capture efficiencies of an existing advanced facer canceller system and a prototype advanced facer canceller system 200 configuration at U.S. Postal Service Santa Ana Processing & Distribution Center Santa Ana, CA"
"Health hazard evaluation report: HETA-99-0173-2856, U.S. Park Service, Turnbull National Wildlife Refuge, Cheney, Washington",carbon monoxide,National Institute for Occupational Safety and Health,2001-07-01,Steven A. Lee,"Health hazard evaluation report: HETA-99-0173-2856, U.S. Park Service, Turnbull National Wildlife Refuge, Cheney, Washington"
