col0,col1,col2,col3,col4,col5,col6
Luzzatti Cabinet,Kingdom of Italy,1911-03-30,Giolitti IV Cabinet,Sonnino II Cabinet,Government of the Kingdom of Italy,1910-03-31
Giolitti V Cabinet,Kingdom of Italy,1921-07-04,Bonomi I Cabinet,Nitti II Cabinet,Government of the Kingdom of Italy,1920-06-15
Giolitti IV Cabinet,Kingdom of Italy,1914-03-21,Salandra I Cabinet,Luzzatti Cabinet,Government of the Kingdom of Italy,1911-03-30
Giolitti I Cabinet,Kingdom of Italy,1893-12-15,Crispi III Cabinet,di Rudinì I Cabinet,Government of the Kingdom of Italy,1892-05-15
Facta II Cabinet,Kingdom of Italy,1922-10-31,Mussolini Cabinet,Facta I Cabinet,Government of the Kingdom of Italy,1922-08-01
Depretis III Cabinet,Kingdom of Italy,1879-07-14,Cairoli II Cabinet,Cairoli I Cabinet,Government of the Kingdom of Italy,1878-12-19
Depretis II Cabinet,Kingdom of Italy,1878-03-24,Cairoli I Cabinet,Depretis I Cabinet,Government of the Kingdom of Italy,1877-12-26
Crispi III Cabinet,Kingdom of Italy,1894-06-14,di Rudinì II Cabinet,Giolitti I Cabinet,Government of the Kingdom of Italy,1893-12-15
Bonomi I Cabinet,Kingdom of Italy,1922-02-26,Facta I Cabinet,Giolitti V Cabinet,Government of the Kingdom of Italy,1921-07-04
Badoglio I Cabinet,Kingdom of Italy,1944-04-22,Badoglio II Cabinet,Mussolini Cabinet,Government of the Kingdom of Italy,1943-07-25
De Gasperi I Cabinet,Italy,1946-07-13,De Gasperi II Cabinet,Parri Cabinet,Government of the Kingdom of Italy,1945-12-10
