col0,col1,col2,col3,col4,col5
United States women's national road cycling team 1993,1993-12-31,United States women's national road cycling team 1994,United States women's national road cycling team 1992,1993-01-01,United States women's national road cycling team
United States women's national road cycling team 1992,1992-12-31,United States women's national road cycling team 1993,United States women's national road cycling team 1991,1992-01-01,United States women's national road cycling team
French women's national road cycling team 1998,1998-12-31,French women's national road cycling team 1999,French women's national road cycling team 1997,1998-01-01,French women's national road cycling team
French women's national road cycling team 1996,1996-12-31,French women's national road cycling team 1997,French women's national road cycling team 1995,1996-01-01,French women's national road cycling team
French women's national road cycling team 1995,1995-12-31,French women's national road cycling team 1996,French women's national road cycling team 1994,1995-01-01,French women's national road cycling team
French women's national road cycling team 1994,1994-12-31,French women's national road cycling team 1995,French women's national road cycling team 1993,1994-01-01,French women's national road cycling team
French women's national road cycling team 1993,1993-12-31,French women's national road cycling team 1994,French women's national road cycling team 1992,1993-01-01,French women's national road cycling team
French women's national road cycling team 1992,1992-12-31,French women's national road cycling team 1993,French women's national road cycling team 1991,1992-01-01,French women's national road cycling team
French women's national road cycling team 2013,2013-12-31,French women's national road cycling team 2014,French women's national road cycling team 2012,2013-01-01,French women's national road cycling team
French women's national road cycling team 2014,2014-12-31,French women's national road cycling team 2015,French women's national road cycling team 2013,2014-01-01,French women's national road cycling team
French women's national road cycling team 1997,1997-12-31,French women's national road cycling team 1998,French women's national road cycling team 1996,1997-01-01,French women's national road cycling team
French women's national road cycling team 2000,2000-12-31,French women's national road cycling team 2001,French women's national road cycling team 1999,2000-01-01,French women's national road cycling team
French women's national road cycling team 2012,2012-12-31,French women's national road cycling team 2013,French women's national road cycling team 2011,2012-01-01,French women's national road cycling team
French women's national road cycling team 2006,2006-12-31,French women's national road cycling team 2007,French women's national road cycling team 2005,2006-01-01,French women's national road cycling team
French women's national road cycling team 2009,2009-12-31,French women's national road cycling team 2010,French women's national road cycling team 2008,2009-01-01,French women's national road cycling team
German men's national road cycling team 2016,2016-12-31,German men's national road cycling team 2017,German men's national road cycling team 2015,2016-01-01,German men's national road cycling team
Malaysian men's national road cycling team 2016,2016-12-31,Malaysian men's national road cycling team 2017,Malaysian men's national road cycling team 2015,2016-01-01,Malaysian men's national road cycling team
Russian men's national road cycling team 2016,2016-12-31,Russian men's national road cycling team 2017,Russian men's national road cycling team 2015,2016-01-01,Russian men's national road cycling team
Spanish men's national road cycling team 2016,2016-12-31,Spanish men's national road cycling team 2017,Spanish men's national road cycling team 2015,2016-01-01,Spanish men's national road cycling team
British men's national road cycling team 2015,2015-12-31,British men's national road cycling team 2016,British men's national road cycling team 2014,2015-01-01,British men's national road cycling team
